reconstructionData	SOURCE	CATEGORY	TOOL
RXN-1321_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
H2SOXIREDPYRO-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13214_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12263_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-318_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11758_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-3701_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7740_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16622_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLYOXI-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14987_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GUANYLCYC-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-2601_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5226_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.5.1.28-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
TEICHOICSYN5-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
XANTHINE-OXIDASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
KDOTRANS2-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
PREPHENATE-TRANSAMINE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.4.23.40-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
UREIDOGLYCOLATE-LYASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HOMOCYSTEINE-DESULFHYDRASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17130_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14266_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14772_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11209_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
N-ACETYLTRANSFER-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RR-BUTANEDIOL-DEHYDROGENASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-16152_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11688_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1825_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12971_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11211_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.4.22.25-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14276_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13415_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
AIRCARBOXY-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
GUANYLCYC-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN1F-148_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
3.5.1.60-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.2.1.45-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.8.1.5-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
BADH-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.6.1.28-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PYRIDOXINE-4-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.2.1.6-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14049_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PROTEIN-TYROSINE-PHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-600_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-14801_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-7192_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.1.1.79-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17877_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11581_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5144_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-15980_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PHOSGLYPHOS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-8988_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
NACGLCTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11217_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN1F-160_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN0-7239_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1101_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-2208_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5393_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DTDPDEHYDRHAMEPIM-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12559_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.6.1.17-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
3.4.14.10-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ABC-23-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HISTONE-ACETYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN6666-4_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-12204_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4.2.3.25-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13444_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DOPAMINE-BETA-MONOOXYGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12193_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10994_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8151_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7708_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.4.1.121-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7673_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HOMOACONITATE-HYDRATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10828_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12263_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-4510_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.4.22.33-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.1.1.8-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN3O-218_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
2.7.7.1-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11213_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.1.4.17-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
METHYLVALERATE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.10.1-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.1.127-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10656_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16155_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GABATRANSAM-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
MBCOA-DHLIPOAMIDE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-5466_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10089_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-13142_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16032_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RIBOFLAVINSYNDEAM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
FRUCTOKINASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
DIHYDROKAEMPFEROL-4-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
THI-P-KIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12490_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-16248_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
LYSINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-37_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.1.2.14-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7657_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GMP-SYN-GLUT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
HISTIDINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17794_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12729_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DTDPDEHYRHAMREDUCT-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.5.5.1-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUCONOKIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.4.1.37-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9000_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13291_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11062_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11736_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-385_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
PSERTRANSAMPYR-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9658_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
5.99.1.2-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12747_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17890_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17736_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.1.1.82-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7678_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HYDROGEN-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17876_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLUCOSAMINEPNACETYLTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1381_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PANTEPADENYLYLTRAN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
FLAVONOID-3-MONOOXYGENASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-2921_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16042_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11374_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
NICOTINATE-GLUCOSYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10780_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PRAISOM-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GLYOHMETRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DIHYDROFOLATEREDUCT-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
NITRILE-HYDRATASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.3.7.4-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.6.3.1-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ASPCARBTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
NAG1P-URIDYLTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
1.1.1.288-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
TRYPSYN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
VICIANIN-BETA-GLUCOSIDASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-546_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12583_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
CERAMIDASE-YEAST-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
DHBDEHYD-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
P-PANTOCYSLIG-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-901_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11573_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12382_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-384_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
INORGPYROPHOSPHAT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
2.7.1.157-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14771_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-10658_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
4.2.99.19-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-7607_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-14794_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16114_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9384_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
DTDPKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
DALADALALIG-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN66-311_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.3.1.154-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17734_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9789_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.6.1.50-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9840_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-9933_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
ALANINE-AMINOTRANSFERASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
OROPRIBTRANS-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-16615_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-14236_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12448_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13641_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN6666-2_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-1961_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
GDPREDUCT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA	OUTPUT_PANTOGRAPH_ATHALIANA	ORTHOLOGY	PANTOGRAPH
RXN-13944_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
2.7.7.35-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8414_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12201_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-13725_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17139_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
URIDINEKIN-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
3.4.14.2-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN0-5224_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17583_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-15137_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
HOMOCYSMETB12-RXN_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-8155_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-12461_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-11368_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
RXN-17928_reconstructionData_B_NAPUS_V5	B_NAPUS_V5	ANNOTATION	PATHWAYTOOLS
