reaction	has_metadata@reconstructionData
RXN-16097	RXN-16097_reconstructionData_B_NAPUS_V5
DUDPKIN-RXN	DUDPKIN-RXN_reconstructionData_B_NAPUS_V5
DUDPKIN-RXN	DUDPKIN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
PSEUDOURIDINE-KINASE-RXN	PSEUDOURIDINE-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-7919	RXN-7919_reconstructionData_B_NAPUS_V5
UROGENIIISYN-RXN	UROGENIIISYN-RXN_reconstructionData_B_NAPUS_V5
RXN-8631	RXN-8631_reconstructionData_B_NAPUS_V5
RXN-17799	RXN-17799_reconstructionData_B_NAPUS_V5
ARGINASE-RXN	ARGINASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ARGINASE-RXN	ARGINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-8761	RXN-8761_reconstructionData_B_NAPUS_V5
RXN-14236	RXN-14236_reconstructionData_B_NAPUS_V5
RXN-14259	RXN-14259_reconstructionData_B_NAPUS_V5
RXN-12645	RXN-12645_reconstructionData_B_NAPUS_V5
RXN-12242	RXN-12242_reconstructionData_B_NAPUS_V5
RXN-2542	RXN-2542_reconstructionData_B_NAPUS_V5
RXN66-479	RXN66-479_reconstructionData_B_NAPUS_V5
NUCLEOTIDASE-RXN	NUCLEOTIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16619	RXN-16619_reconstructionData_B_NAPUS_V5
KETOACYLCOATHIOL-RXN	KETOACYLCOATHIOL-RXN_reconstructionData_B_NAPUS_V5
RXN-12124	RXN-12124_reconstructionData_B_NAPUS_V5
RXN-2103	RXN-2103_reconstructionData_B_NAPUS_V5
RXN-12585	RXN-12585_reconstructionData_B_NAPUS_V5
RXN-10600	RXN-10600_reconstructionData_B_NAPUS_V5
RXN-11919	RXN-11919_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12279	RXN-12279_reconstructionData_B_NAPUS_V5
RXN-16022	RXN-16022_reconstructionData_B_NAPUS_V5
RXN-16176	RXN-16176_reconstructionData_B_NAPUS_V5
RXN-10703	RXN-10703_reconstructionData_B_NAPUS_V5
1.8.3.5-RXN	1.8.3.5-RXN_reconstructionData_B_NAPUS_V5
UDP-GLUCURONATE-DECARBOXYLASE-RXN	UDP-GLUCURONATE-DECARBOXYLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-13190	RXN-13190_reconstructionData_B_NAPUS_V5
RXN1G-3256	RXN1G-3256_reconstructionData_B_NAPUS_V5
ACSERLY-RXN	ACSERLY-RXN_reconstructionData_B_NAPUS_V5
OHACYL-COA-DEHYDROG-RXN	OHACYL-COA-DEHYDROG-RXN_reconstructionData_B_NAPUS_V5
1.2.3.14-RXN	1.2.3.14-RXN_reconstructionData_B_NAPUS_V5
DNA-DIRECTED-RNA-POLYMERASE-RXN	DNA-DIRECTED-RNA-POLYMERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16077	RXN-16077_reconstructionData_B_NAPUS_V5
RXN-13724	RXN-13724_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
PROTEIN-ARGININE-DEIMINASE-RXN	PROTEIN-ARGININE-DEIMINASE-RXN_reconstructionData_B_NAPUS_V5
3.4.19.12-RXN	3.4.19.12-RXN_reconstructionData_B_NAPUS_V5
PHOSPHOGLUCMUT-RXN	PHOSPHOGLUCMUT-RXN_reconstructionData_B_NAPUS_V5
FORMATEDEHYDROG-RXN	FORMATEDEHYDROG-RXN_reconstructionData_B_NAPUS_V5
RXN-8206	RXN-8206_reconstructionData_B_NAPUS_V5
RXN0-6485	RXN0-6485_reconstructionData_B_NAPUS_V5
4.3.1.17-RXN	4.3.1.17-RXN_reconstructionData_B_NAPUS_V5
RXN0-6525	RXN0-6525_reconstructionData_B_NAPUS_V5
RXN-7694	RXN-7694_reconstructionData_B_NAPUS_V5
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
GLUCURONOKINASE-RXN	GLUCURONOKINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-14380	RXN-14380_reconstructionData_B_NAPUS_V5
RXN-14774	RXN-14774_reconstructionData_B_NAPUS_V5
ACYL-COA-OXIDASE-RXN	ACYL-COA-OXIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN1G-1436	RXN1G-1436_reconstructionData_B_NAPUS_V5
RXN-11596	RXN-11596_reconstructionData_B_NAPUS_V5
2.3.1.99-RXN	2.3.1.99-RXN_reconstructionData_B_NAPUS_V5
UDPNACETYLGLUCOSAMACYLTRANS-RXN	UDPNACETYLGLUCOSAMACYLTRANS-RXN_reconstructionData_B_NAPUS_V5
RXN-12267	RXN-12267_reconstructionData_B_NAPUS_V5
3.4.17.21-RXN	3.4.17.21-RXN_reconstructionData_B_NAPUS_V5
RXN-14493	RXN-14493_reconstructionData_B_NAPUS_V5
OXALATE-OXIDASE-RXN	OXALATE-OXIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN-9530	RXN-9530_reconstructionData_B_NAPUS_V5
RXN-10994	RXN-10994_reconstructionData_B_NAPUS_V5
RXN-11211	RXN-11211_reconstructionData_B_NAPUS_V5
RXN-4210	RXN-4210_reconstructionData_B_NAPUS_V5
RXN-1841	RXN-1841_reconstructionData_B_NAPUS_V5
6.3.4.10-RXN	6.3.4.10-RXN_reconstructionData_B_NAPUS_V5
FATTY-ACID-SYNTHASE-RXN	FATTY-ACID-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
2.7.1.133-RXN	2.7.1.133-RXN_reconstructionData_B_NAPUS_V5
GALACTURIDYLYLTRANS-RXN	GALACTURIDYLYLTRANS-RXN_reconstructionData_B_NAPUS_V5
RXN-11502	RXN-11502_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-11502	RXN-11502_reconstructionData_B_NAPUS_V5
3.2.1.84-RXN	3.2.1.84-RXN_reconstructionData_B_NAPUS_V5
ENTMULTI-RXN	ENTMULTI-RXN_reconstructionData_B_NAPUS_V5
RXN-2602	RXN-2602_reconstructionData_B_NAPUS_V5
RXN-12391	RXN-12391_reconstructionData_B_NAPUS_V5
RXN-12759	RXN-12759_reconstructionData_B_NAPUS_V5
RXN-9652	RXN-9652_reconstructionData_B_NAPUS_V5
RXN-14014	RXN-14014_reconstructionData_B_NAPUS_V5
GLYCINE--TRNA-LIGASE-RXN	GLYCINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
HYDROG-RXN	HYDROG-RXN_reconstructionData_B_NAPUS_V5
3PGAREARR-RXN	3PGAREARR-RXN_reconstructionData_B_NAPUS_V5
3PGAREARR-RXN	3PGAREARR-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-9520	RXN-9520_reconstructionData_B_NAPUS_V5
RXN66-354	RXN66-354_reconstructionData_B_NAPUS_V5
RXN-14326	RXN-14326_reconstructionData_B_NAPUS_V5
ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN	ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN66-28	RXN66-28_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN66-28	RXN66-28_reconstructionData_B_NAPUS_V5
RXN-8678	RXN-8678_reconstructionData_B_NAPUS_V5
PREPHENATE-DEHYDROGENASE-NADP+-RXN	PREPHENATE-DEHYDROGENASE-NADP+-RXN_reconstructionData_B_NAPUS_V5
RXN-11478	RXN-11478_reconstructionData_B_NAPUS_V5
RXN-17714	RXN-17714_reconstructionData_B_NAPUS_V5
RXN-16094	RXN-16094_reconstructionData_B_NAPUS_V5
RXN-13008	RXN-13008_reconstructionData_B_NAPUS_V5
OXALATE-DECARBOXYLASE-RXN	OXALATE-DECARBOXYLASE-RXN_reconstructionData_B_NAPUS_V5
2.5.1.65-RXN	2.5.1.65-RXN_reconstructionData_B_NAPUS_V5
1.14.11.1-RXN	1.14.11.1-RXN_reconstructionData_B_NAPUS_V5
RXN-17927	RXN-17927_reconstructionData_B_NAPUS_V5
2.3.1.91-RXN	2.3.1.91-RXN_reconstructionData_B_NAPUS_V5
2.3.1.91-RXN	2.3.1.91-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RIBOFLAVINSYNDEAM-RXN	RIBOFLAVINSYNDEAM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RIBOFLAVINSYNDEAM-RXN	RIBOFLAVINSYNDEAM-RXN_reconstructionData_B_NAPUS_V5
RXN-15326	RXN-15326_reconstructionData_B_NAPUS_V5
R212-RXN	R212-RXN_reconstructionData_B_NAPUS_V5
L-ARABINOKINASE-RXN	L-ARABINOKINASE-RXN_reconstructionData_B_NAPUS_V5
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN_reconstructionData_B_NAPUS_V5
CYTIDEAM2-RXN	CYTIDEAM2-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
CYTIDEAM2-RXN	CYTIDEAM2-RXN_reconstructionData_B_NAPUS_V5
RXN-11225	RXN-11225_reconstructionData_B_NAPUS_V5
RXN-13037	RXN-13037_reconstructionData_B_NAPUS_V5
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN_reconstructionData_B_NAPUS_V5
TROPINONE-REDUCTASE-RXN	TROPINONE-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
PHOSPHASERDECARB-RXN	PHOSPHASERDECARB-RXN_reconstructionData_B_NAPUS_V5
L-GULONOLACTONE-OXIDASE-RXN	L-GULONOLACTONE-OXIDASE-RXN_reconstructionData_B_NAPUS_V5
RXN-17782	RXN-17782_reconstructionData_B_NAPUS_V5
RXN-13608	RXN-13608_reconstructionData_B_NAPUS_V5
1.14.13.87-RXN	1.14.13.87-RXN_reconstructionData_B_NAPUS_V5
IPPISOM-RXN	IPPISOM-RXN_reconstructionData_B_NAPUS_V5
IPPISOM-RXN	IPPISOM-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXNQT-4168	RXNQT-4168_reconstructionData_B_NAPUS_V5
RXN0-5189	RXN0-5189_reconstructionData_B_NAPUS_V5
DSERDEAM-RXN	DSERDEAM-RXN_reconstructionData_B_NAPUS_V5
GLUTAMINYL-PEPTIDE-CYCLOTRANSFERASE-RXN	GLUTAMINYL-PEPTIDE-CYCLOTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
3.4.22.68-RXN	3.4.22.68-RXN_reconstructionData_B_NAPUS_V5
RXN-14240	RXN-14240_reconstructionData_B_NAPUS_V5
RXN-14401	RXN-14401_reconstructionData_B_NAPUS_V5
RXN-12018	RXN-12018_reconstructionData_B_NAPUS_V5
RXN-18028	RXN-18028_reconstructionData_B_NAPUS_V5
RXN-11595	RXN-11595_reconstructionData_B_NAPUS_V5
AMINEOXID-RXN	AMINEOXID-RXN_reconstructionData_B_NAPUS_V5
DOLICHOL-KINASE-RXN	DOLICHOL-KINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-13733	RXN-13733_reconstructionData_B_NAPUS_V5
RXN0-5462	RXN0-5462_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN0-5462	RXN0-5462_reconstructionData_B_NAPUS_V5
RXN-12587	RXN-12587_reconstructionData_B_NAPUS_V5
1.8.4.13-RXN	1.8.4.13-RXN_reconstructionData_B_NAPUS_V5
RXN66-483	RXN66-483_reconstructionData_B_NAPUS_V5
1.6.5.4-RXN	1.6.5.4-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
1.6.5.4-RXN	1.6.5.4-RXN_reconstructionData_B_NAPUS_V5
PYRROLINECARBDEHYDROG-RXN	PYRROLINECARBDEHYDROG-RXN_reconstructionData_B_NAPUS_V5
ALKAPHOSPHA-RXN	ALKAPHOSPHA-RXN_reconstructionData_B_NAPUS_V5
RXN-17808	RXN-17808_reconstructionData_B_NAPUS_V5
RXN-11698	RXN-11698_reconstructionData_B_NAPUS_V5
RXN-10655	RXN-10655_reconstructionData_B_NAPUS_V5
ABC-24-RXN	ABC-24-RXN_reconstructionData_B_NAPUS_V5
RXN-9632	RXN-9632_reconstructionData_B_NAPUS_V5
RXN-12619	RXN-12619_reconstructionData_B_NAPUS_V5
TRIPHOSPHATASE-RXN	TRIPHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
3.4.11.20-RXN	3.4.11.20-RXN_reconstructionData_B_NAPUS_V5
RXN-5470	RXN-5470_reconstructionData_B_NAPUS_V5
RXN-7706	RXN-7706_reconstructionData_B_NAPUS_V5
2.7.8.23-RXN	2.7.8.23-RXN_reconstructionData_B_NAPUS_V5
HISTALDEHYD-RXN	HISTALDEHYD-RXN_reconstructionData_B_NAPUS_V5
GLUCISOM-RXN	GLUCISOM-RXN_reconstructionData_B_NAPUS_V5
CHLOROPHYLLASE-RXN	CHLOROPHYLLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-12444	RXN-12444_reconstructionData_B_NAPUS_V5
RXN66-477	RXN66-477_reconstructionData_B_NAPUS_V5
RXN-8661	RXN-8661_reconstructionData_B_NAPUS_V5
FORMYLTHFDEFORMYL-RXN	FORMYLTHFDEFORMYL-RXN_reconstructionData_B_NAPUS_V5
4.2.1.58-RXN	4.2.1.58-RXN_reconstructionData_B_NAPUS_V5
RXN0-2605	RXN0-2605_reconstructionData_B_NAPUS_V5
PROTOHEMEFERROCHELAT-RXN	PROTOHEMEFERROCHELAT-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
PROTOHEMEFERROCHELAT-RXN	PROTOHEMEFERROCHELAT-RXN_reconstructionData_B_NAPUS_V5
SUCROSE-PHOSPHATE-SYNTHASE-RXN	SUCROSE-PHOSPHATE-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
RXN-8344	RXN-8344_reconstructionData_B_NAPUS_V5
RXN-16248	RXN-16248_reconstructionData_B_NAPUS_V5
TYROSINE--TRNA-LIGASE-RXN	TYROSINE--TRNA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
UROGENDECARBOX-RXN	UROGENDECARBOX-RXN_reconstructionData_B_NAPUS_V5
RXN-17798	RXN-17798_reconstructionData_B_NAPUS_V5
RXN-18302	RXN-18302_reconstructionData_B_NAPUS_V5
RXN-5482	RXN-5482_reconstructionData_B_NAPUS_V5
2.4.1.37-RXN	2.4.1.37-RXN_reconstructionData_B_NAPUS_V5
RXN0-747	RXN0-747_reconstructionData_B_NAPUS_V5
RXN0-6565	RXN0-6565_reconstructionData_B_NAPUS_V5
RXN-8581	RXN-8581_reconstructionData_B_NAPUS_V5
NITRATE-REDUCTASE-NADH-RXN	NITRATE-REDUCTASE-NADH-RXN_reconstructionData_B_NAPUS_V5
2.7.8.15-RXN	2.7.8.15-RXN_reconstructionData_B_NAPUS_V5
2.7.8.15-RXN	2.7.8.15-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
RXN-9787	RXN-9787_reconstructionData_B_NAPUS_V5
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN_reconstructionData_B_NAPUS_V5
RXN66-484	RXN66-484_reconstructionData_B_NAPUS_V5
RXN-14283	RXN-14283_reconstructionData_B_NAPUS_V5
2.7.1.160-RXN	2.7.1.160-RXN_reconstructionData_B_NAPUS_V5
RXN-1345	RXN-1345_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
1.1.1.211-RXN	1.1.1.211-RXN_reconstructionData_B_NAPUS_V5
RXN-8147	RXN-8147_reconstructionData_B_NAPUS_V5
GLUTDECARBOX-RXN	GLUTDECARBOX-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
GLUTDECARBOX-RXN	GLUTDECARBOX-RXN_reconstructionData_B_NAPUS_V5
RXN-13430	RXN-13430_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-12239	RXN-12239_reconstructionData_B_NAPUS_V5
CORTISONE-ALPHA-REDUCTASE-RXN	CORTISONE-ALPHA-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
RXN-9222	RXN-9222_reconstructionData_B_NAPUS_V5
AMINOCYL-TRNA-HYDROLASE-RXN	AMINOCYL-TRNA-HYDROLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-5469	RXN-5469_reconstructionData_B_NAPUS_V5
1.1.1.283-RXN	1.1.1.283-RXN_reconstructionData_B_NAPUS_V5
RXN-10972	RXN-10972_reconstructionData_B_NAPUS_V5
GUANOSINEKIN-RXN	GUANOSINEKIN-RXN_reconstructionData_B_NAPUS_V5
RXN66-10	RXN66-10_reconstructionData_B_NAPUS_V5
RXN1F-165	RXN1F-165_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
4.2.1.61-RXN	4.2.1.61-RXN_reconstructionData_B_NAPUS_V5
RXN66-317	RXN66-317_reconstructionData_B_NAPUS_V5
RXN-13446	RXN-13446_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14797	RXN-14797_reconstructionData_B_NAPUS_V5
RXN0-7229	RXN0-7229_reconstructionData_B_NAPUS_V5
RXN-8014	RXN-8014_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
2.1.3.9-RXN	2.1.3.9-RXN_reconstructionData_B_NAPUS_V5
RXN-12382	RXN-12382_reconstructionData_B_NAPUS_V5
3.5.2.17-RXN	3.5.2.17-RXN_reconstructionData_B_NAPUS_V5
RXN1G-526	RXN1G-526_reconstructionData_B_NAPUS_V5
5.4.4.3-RXN	5.4.4.3-RXN_reconstructionData_B_NAPUS_V5
RXN0-1133	RXN0-1133_reconstructionData_B_NAPUS_V5
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-FORMYL-THF-CYCLO-LIGASE-RXN_reconstructionData_B_NAPUS_V5
RXN-8134	RXN-8134_reconstructionData_B_NAPUS_V5
RXN-12479	RXN-12479_reconstructionData_B_NAPUS_V5
RXN-12973	RXN-12973_reconstructionData_B_NAPUS_V5
RXN0-2382	RXN0-2382_reconstructionData_B_NAPUS_V5
2.7.1.151-RXN	2.7.1.151-RXN_reconstructionData_B_NAPUS_V5
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN_reconstructionData_B_NAPUS_V5
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
TREHALOSEPHOSPHA-RXN	TREHALOSEPHOSPHA-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
TREHALOSEPHOSPHA-RXN	TREHALOSEPHOSPHA-RXN_reconstructionData_B_NAPUS_V5
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
GUANOSINE-DEAMINASE-RXN	GUANOSINE-DEAMINASE-RXN_reconstructionData_B_NAPUS_V5
RXN-7673	RXN-7673_reconstructionData_B_NAPUS_V5
RXN-16425	RXN-16425_reconstructionData_B_NAPUS_V5
RXN-9028	RXN-9028_reconstructionData_B_NAPUS_V5
RXN-12197	RXN-12197_reconstructionData_B_NAPUS_V5
NADH-DEHYDROG-A-RXN	NADH-DEHYDROG-A-RXN_reconstructionData_B_NAPUS_V5
RXN-17583	RXN-17583_reconstructionData_B_NAPUS_V5
GPH-RXN	GPH-RXN_reconstructionData_B_NAPUS_V5
RXN-13301	RXN-13301_reconstructionData_B_NAPUS_V5
FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN_reconstructionData_B_NAPUS_V5
R322-RXN	R322-RXN_reconstructionData_B_NAPUS_V5
3-CYANOALANINE-HYDRATASE-RXN	3-CYANOALANINE-HYDRATASE-RXN_reconstructionData_B_NAPUS_V5
RXN-14315	RXN-14315_reconstructionData_B_NAPUS_V5
FERRIC-CHELATE-REDUCTASE-RXN	FERRIC-CHELATE-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
RXN0-5515	RXN0-5515_reconstructionData_B_NAPUS_V5
RXN-10718	RXN-10718_reconstructionData_B_NAPUS_V5
RXN-14638	RXN-14638_reconstructionData_B_NAPUS_V5
RXN-13926	RXN-13926_reconstructionData_B_NAPUS_V5
THYM-PHOSPH-RXN	THYM-PHOSPH-RXN_reconstructionData_B_NAPUS_V5
3.2.1.78-RXN	3.2.1.78-RXN_reconstructionData_B_NAPUS_V5
RXN-1303	RXN-1303_reconstructionData_B_NAPUS_V5
RXN-9527	RXN-9527_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-9527	RXN-9527_reconstructionData_B_NAPUS_V5
RXN-2901	RXN-2901_reconstructionData_B_NAPUS_V5
RXN-18218	RXN-18218_reconstructionData_B_NAPUS_V5
RXN-9951	RXN-9951_reconstructionData_B_NAPUS_V5
RXN66-342	RXN66-342_reconstructionData_B_NAPUS_V5
RXN-12610	RXN-12610_reconstructionData_B_NAPUS_V5
RXN-14142	RXN-14142_reconstructionData_B_NAPUS_V5
RXN-14142	RXN-14142_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN	CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN_reconstructionData_B_NAPUS_V5
RXN-16027	RXN-16027_reconstructionData_B_NAPUS_V5
RXN-18244	RXN-18244_reconstructionData_B_NAPUS_V5
RXN-14986	RXN-14986_reconstructionData_B_NAPUS_V5
GST-RXN	GST-RXN_reconstructionData_B_NAPUS_V5
2.4.2.12-RXN	2.4.2.12-RXN_reconstructionData_B_NAPUS_V5
2.7.1.139-RXN	2.7.1.139-RXN_reconstructionData_B_NAPUS_V5
RXN-14025	RXN-14025_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14025	RXN-14025_reconstructionData_B_NAPUS_V5
RXN-2221	RXN-2221_reconstructionData_B_NAPUS_V5
RXN-14277	RXN-14277_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-14277	RXN-14277_reconstructionData_B_NAPUS_V5
RXN0-7239	RXN0-7239_reconstructionData_B_NAPUS_V5
3.6.3.47-RXN	3.6.3.47-RXN_reconstructionData_B_NAPUS_V5
2.7.13.3-RXN	2.7.13.3-RXN_reconstructionData_B_NAPUS_V5
DTDPDEHYRHAMREDUCT-RXN	DTDPDEHYRHAMREDUCT-RXN_reconstructionData_B_NAPUS_V5
RXN-10441	RXN-10441_reconstructionData_B_NAPUS_V5
RXN-1225	RXN-1225_reconstructionData_B_NAPUS_V5
RXN-4142	RXN-4142_reconstructionData_B_NAPUS_V5
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN_reconstructionData_B_NAPUS_V5
3.1.1.82-RXN	3.1.1.82-RXN_reconstructionData_B_NAPUS_V5
RXN-12469	RXN-12469_reconstructionData_B_NAPUS_V5
NARINGENIN-CHALCONE-SYNTHASE-RXN	NARINGENIN-CHALCONE-SYNTHASE-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
NARINGENIN-CHALCONE-SYNTHASE-RXN	NARINGENIN-CHALCONE-SYNTHASE-RXN_reconstructionData_B_NAPUS_V5
RXN0-276	RXN0-276_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-13197	RXN-13197_reconstructionData_B_NAPUS_V5
RXN-13726	RXN-13726_reconstructionData_B_NAPUS_V5
RXN3O-1803	RXN3O-1803_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN3O-1803	RXN3O-1803_reconstructionData_B_NAPUS_V5
RXN-5285	RXN-5285_reconstructionData_B_NAPUS_V5
PPGPPSYN-RXN	PPGPPSYN-RXN_reconstructionData_B_NAPUS_V5
RXN-9524	RXN-9524_reconstructionData_B_NAPUS_V5
RXN-13295	RXN-13295_reconstructionData_B_NAPUS_V5
TRANSALDOL-RXN	TRANSALDOL-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
TRANSALDOL-RXN	TRANSALDOL-RXN_reconstructionData_B_NAPUS_V5
RXN-7967	RXN-7967_reconstructionData_B_NAPUS_V5
RXN-5107	RXN-5107_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
INOSINE-NUCLEOSIDASE-RXN	INOSINE-NUCLEOSIDASE-RXN_reconstructionData_B_NAPUS_V5
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-11475	RXN-11475_reconstructionData_B_NAPUS_V5
ADENYLATECYC-RXN	ADENYLATECYC-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
ADENYLATECYC-RXN	ADENYLATECYC-RXN_reconstructionData_B_NAPUS_V5
RXN0-363	RXN0-363_reconstructionData_B_NAPUS_V5
3.6.4.6-RXN	3.6.4.6-RXN_reconstructionData_B_NAPUS_V5
RXN-12575	RXN-12575_reconstructionData_B_NAPUS_V5
RXN1G-3993	RXN1G-3993_reconstructionData_B_NAPUS_V5
F16ALDOLASE-RXN	F16ALDOLASE-RXN_reconstructionData_B_NAPUS_V5
RXN-7571	RXN-7571_reconstructionData_B_NAPUS_V5
RXN0-6528	RXN0-6528_reconstructionData_B_NAPUS_V5
RXN-7162	RXN-7162_reconstructionData_B_NAPUS_V5
1.14.99.33-RXN	1.14.99.33-RXN_reconstructionData_B_NAPUS_V5
PROPANOATECOA-LIGASE-RXN	PROPANOATECOA-LIGASE-RXN_reconstructionData_B_NAPUS_V5
RXN-13371	RXN-13371_reconstructionData_B_NAPUS_V5
3.4.23.27-RXN	3.4.23.27-RXN_reconstructionData_B_NAPUS_V5
LYXK-RXN	LYXK-RXN_reconstructionData_B_NAPUS_V5
2.7.1.90-RXN	2.7.1.90-RXN_reconstructionData_B_NAPUS_V5
RXN-17948	RXN-17948_reconstructionData_B_NAPUS_V5
RXN-16032	RXN-16032_reconstructionData_B_NAPUS_V5
RXN-15910	RXN-15910_reconstructionData_B_NAPUS_V5
RXN-15910	RXN-15910_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-1443	RXN-1443_reconstructionData_B_NAPUS_V5
PHOSPHAGLYPSYN-RXN	PHOSPHAGLYPSYN-RXN_reconstructionData_B_NAPUS_V5
PHOSPHAGLYPSYN-RXN	PHOSPHAGLYPSYN-RXN_reconstructionData_OUTPUT_PANTOGRAPH_ATHALIANA
RXN-9281	RXN-9281_reconstructionData_B_NAPUS_V5
RXNDQC-2	RXNDQC-2_reconstructionData_B_NAPUS_V5
GLYCEROL-1-PHOSPHATASE-RXN	GLYCEROL-1-PHOSPHATASE-RXN_reconstructionData_B_NAPUS_V5
