reaction	in@metabolic_network	DIRECTION	EC-NUMBER	COMMON-NAME
RXN-13190	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.78	ent-kaurene oxidase
RXN1G-3256	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1	trans-&Delta;18-37-hydroxy-38-methyl-C58:1-[acp] reductase
RXN1G-3256				enoyl-[acyl-carrier-protein] reductase
ACSERLY-RXN	brassica_napus	REVERSIBLE	EC-2.5.1.47	cysteine synthase
OHACYL-COA-DEHYDROG-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
1.2.3.14-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.3.14	abscisic aldehyde oxidase
DNA-DIRECTED-RNA-POLYMERASE-RXN	brassica_napus	REVERSIBLE	EC-2.7.7.6	RNA polymerase
DNA-DIRECTED-RNA-POLYMERASE-RXN				DNA-directed 5'-3' RNA polymerase
RXN-16077	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
RXN-13724	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.96	
PROTEIN-ARGININE-DEIMINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.3.15	protein-arginine deiminase
3.4.19.12-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.19.12	deubiquitinase
3.4.19.12-RXN				thiol-dependent ubiquitinyl hydrolase
PHOSPHOGLUCMUT-RXN	brassica_napus	REVERSIBLE	EC-5.4.2.2	phosphoglucomutase
FORMATEDEHYDROG-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.5.6	formate dehydrogenase (menaquinone)
FORMATEDEHYDROG-RXN				formate dehydrogenase (NAD+)
RXN-8206	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.171	"delphinidin 3-O-glucoside 6""-O-malonyltransferase"
RXN0-6485	brassica_napus	LEFT-TO-RIGHT	EC-3.1.26.12	ribonuclease
4.3.1.17-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.3.1.17	L-serine ammonia-lyase
RXN0-6525	brassica_napus	LEFT-TO-RIGHT	EC-3.1.13.1	exoribonuclease II
RXN-7694	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.1	alcohol dehydrogenase (NAD)
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1	S-adenosyl-L-methionine:L-homocysteine S-methyltransferase
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN				S-adenosylmethionine-homocysteine S-methyltransferase
GLUCURONOKINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.43	glucuronokinase
RXN-14380	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.68	isoamylase
RXN-14774	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
ACYL-COA-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.3.3.6	acyl-CoA oxidase
RXN1G-1436	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.12	trehalose-phosphatase
RXN1G-1436				6-O-cis-methoxy-mycolyl-trehalose-6-phosphate phosphohydrolase
RXN-11596	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.181	23S rRNA m6A1618 methyltransferase
2.3.1.99-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.99	quinate O-hydroxycinnamoyltransferase
UDPNACETYLGLUCOSAMACYLTRANS-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.129	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
UDPNACETYLGLUCOSAMACYLTRANS-RXN				UDP-N-acetylglucosamine acyltransferase
RXN-12267	brassica_napus	REVERSIBLE	EC-1.3.1	enone reductase
3.4.17.21-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.17.21	
RXN-14493	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.330	3-oxo-lesqueroloyl-CoA reductase
RXN-14493				3-oxo-arachidoyl-CoA reductase
OXALATE-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.3.4	oxalate oxidase
RXN-9530	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.10	trans-&Delta;2-decenoyl-[acp]reductase (NADPH, B-specific)
RXN-9530			EC-1.3.1.39	fatty-acyl-CoA synthase
RXN-9530			EC-2.3.1.85	fatty acid synthase
RXN-9530			EC-2.3.1.86	
RXN-10994	brassica_napus	REVERSIBLE	EC-2.7.8.7	holo-[acyl-carrier-protein] synthase
RXN-11211	brassica_napus	REVERSIBLE	EC-3.5.2.2	dihydropyrimidinase
RXN-4210	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.21	7-dehydrocholesterol reductase
RXN-1841	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.80	fructan beta-fructosidase
RXN-1841				fructan 1-exohydrolase
6.3.4.10-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.4.10	
FATTY-ACID-SYNTHASE-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.85	fatty acid synthase
2.7.1.133-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.159	inositol-1,3,4-trisphosphate 5-kinase
2.7.1.133-RXN				inositol-1,3,4-trisphosphate 6-kinase
GALACTURIDYLYLTRANS-RXN	brassica_napus	REVERSIBLE	EC-2.7.7.12	UDP-glucose:&alpha;-D-galactose-1-phosphate uridylyltransferase
RXN-11502	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1	raffinose alpha-galactosidase
3.2.1.84-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.84	glucan 1,3-alpha-glucosidase
ENTMULTI-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.2.14	enterobactin synthase
RXN-2602	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.195	cinnamyl-alcohol dehydrogenase
RXN-2602			EC-1.1.1.194	sinapyl alcohol dehydrogenase
RXN-12391	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.25	4-&alpha;-glucanotransferase
RXN-12391				4-alpha-glucanotransferase
RXN-12759	brassica_napus	LEFT-TO-RIGHT	EC-1.13.11.61	linolenate 9R-lipoxygenase
RXN-9652	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	fatty-acyl-CoA synthase
RXN-9652			EC-2.3.1.85	3-oxoacyl-[acyl-carrier-protein] synthase
RXN-9652			EC-2.3.1.41	3-oxo-dodecanoyl-[acyl-carrier protein] synthase
RXN-9652				fatty acid synthase
RXN-14014	brassica_napus	LEFT-TO-RIGHT	EC-1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase
GLYCINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.14	glycine-tRNA ligase
HYDROG-RXN	brassica_napus	REVERSIBLE	EC-1.12.7.2	ferredoxin hydrogenase
3PGAREARR-RXN	brassica_napus	REVERSIBLE	EC-5.4.2.12	phosphoglycerate mutase
3PGAREARR-RXN				2,3-bisphosphoglycerate-independent phosphoglycerate mutase
RXN-9520	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
RXN-9520			EC-2.3.1.85	fatty-acyl-CoA synthase
RXN-9520			EC-4.2.1.59	(3R)-3-hydroxyhexanoyl-[acyl-carrier protein] dehydratase
RXN-9520				fatty acid synthase
RXN66-354	brassica_napus	LEFT-TO-RIGHT	EC-5.3.3.1	preg-5-en-3,20-dione isomerase
RXN-14326	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.98	diphthine synthase
ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.4	acetylserotonin O-methyltransferase
RXN66-28	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.72	delta24-sterol reductase
RXN-8678	brassica_napus	LEFT-TO-RIGHT	EC-1.23.1.1	pinoresinol reductase
PREPHENATE-DEHYDROGENASE-NADP+-RXN	brassica_napus	REVERSIBLE	EC-1.3.1.13	prephenate dehydrogenase (NADP+)
RXN-11478	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-17714	brassica_napus	LEFT-TO-RIGHT		
RXN-16094	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.199	3-oxo-(11Z,14Z)-icosa-11,14-dienoyl-CoA synthase
RXN-16094				3-oxo-cerotoyl-CoA synthase
RXN-16094				3-oxo-arachidoyl-CoA synthase
RXN-13008	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-13008			EC-2.3.1.85	fatty-acyl-CoA synthase
RXN-13008			EC-1.1.1.100	3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-13008				fatty acid synthase
OXALATE-DECARBOXYLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.2	oxalate decarboxylase
2.5.1.65-RXN	brassica_napus	REVERSIBLE	EC-2.5.1.65	
1.14.11.1-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.1	&gamma;-butyrobetaine dioxygenase
RXN-17927	brassica_napus	LEFT-TO-RIGHT		
2.3.1.91-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.91	sinapoylglucose-choline O-sinapoyltransferase
RIBOFLAVINSYNDEAM-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.4.26	diaminohydroxyphosphoribosylaminopyrimidine deaminase
RXN-15326	brassica_napus	LEFT-TO-RIGHT	EC-2.4.2.51	cyanidin 3-O-glucoside 2-O''-xylosyltransferase
R212-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.114	dihomocitrate dehydratase
L-ARABINOKINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.46	L-arabinokinase
L-ARABINOKINASE-RXN				arabinose kinase
GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.67	galacturan 1,4-alpha-galacturonidase
CYTIDEAM2-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.4.5	cytidine deaminase
RXN-11225	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.219	demethoxycurcumin synthase
RXN-13037	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.181	octanoyl:GcvH transferase
RXN-13037				lipoyl(octanoyl) transferase
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
TROPINONE-REDUCTASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.236	tropinone reductase
PHOSPHASERDECARB-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.65	phosphatidylserine decarboxylase
L-GULONOLACTONE-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT		L-gulonolactone oxidase
L-GULONOLACTONE-OXIDASE-RXN				L-gulono-&gamma;-lactone: O2 oxidoreductase
L-GULONOLACTONE-OXIDASE-RXN				L-gulono-&gamma;-lactone:oxidoreductase
L-GULONOLACTONE-OXIDASE-RXN				GLO
RXN-17782	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
RXN-13608	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.17	glucuronosyltransferase
1.14.13.87-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.87	licodione synthase
IPPISOM-RXN	brassica_napus	REVERSIBLE	EC-5.3.3.2	isopentenyl-diphosphate delta-isomerase
RXNQT-4168	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.85	3-isopropylmalate dehydrogenase
RXN0-5189	brassica_napus	LEFT-TO-RIGHT	EC-3.2.2.20	3 methyl-adenine DNA glycosylase
RXN0-5189				DNA-3-methyladenine glycosylase
DSERDEAM-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.3.1.18	D-serine ammonia-lyase
GLUTAMINYL-PEPTIDE-CYCLOTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.3.2.5	
3.4.22.68-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.22.68	
RXN-14240	brassica_napus	LEFT-TO-RIGHT	EC-1.11.1.7	baicalein peroxidase
RXN-14240				peroxidase
RXN-14401	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.37	kanamycin B dioxygenase
RXN-12018	brassica_napus	LEFT-TO-RIGHT	EC-3.4.23.47	HIV-2 retropepsin
RXN-18028	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.40	poly(glycerol phosphate) teichoic acid transporter
RXN-11595	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.180	
AMINEOXID-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.21	Aliphatic-amine oxidase
AMINEOXID-RXN				primary amine oxidase
DOLICHOL-KINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.108	dolichol kinase
RXN-13733	brassica_napus	REVERSIBLE	EC-3.5.1.23	dihydroceramidase
RXN-13733				ceramidase
RXN0-5462	brassica_napus	LEFT-TO-RIGHT	EC-3.6.5.1	GTPase
RXN0-5462			EC-3.6.5.2	
RXN0-5462			EC-3.6.5.3	
RXN0-5462			EC-3.6.5.4	
RXN0-5462			EC-3.6.5.5	
RXN0-5462			EC-3.6.5.6	
RXN0-5462			EC-3.6.1.15	
RXN-12587	brassica_napus	REVERSIBLE	EC-2.8.1.7	cysteine desulfurase
1.8.4.13-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.8.4.13	L-methionine:thioredoxin-disulfide S-oxidoreductase
RXN66-483	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	decanoate--CoA ligase
RXN66-483				long-chain fatty acid-CoA ligase
1.6.5.4-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.6.5.4	monodehydroascorbate reductase (NADH)
PYRROLINECARBDEHYDROG-RXN	brassica_napus	LEFT-TO-RIGHT		1-pyrroline-5-carboxylate dehydrogenase
ALKAPHOSPHA-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.1	alkaline phosphatase
RXN-17808	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.3	aldehyde dehydrogenase (NAD)
RXN-11698	brassica_napus	LEFT-TO-RIGHT	EC-3.4.24.84	prenyl protein-specific endoprotease
RXN-10655	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-10655				3-oxo-cis-&Delta;7-tetradecenoyl-[acp] reductase
RXN-10655				3-oxo-pimeloyl-[acp] methyl ester reductase
ABC-24-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.31	polyamine-transporting ATPase
RXN-9632	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.41	3-oxo-stearoyl-[acyl-carrier protein] synthase
RXN-9632				3-oxoacyl-[acyl-carrier-protein] synthase
RXN-9632				3-oxo-stearoyl-[acp] synthase
RXN-12619	brassica_napus	LEFT-TO-RIGHT	EC-3.4.23.52	preflagellin peptidase
TRIPHOSPHATASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.1.25	triphosphatase
3.4.11.20-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.20	
RXN-5470	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.267	(mannosyl)9-(N-acetylglucosaminyl)2-diphosphodolichol glucosyltransferase
RXN-7706	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.1	alcohol dehydrogenase (NAD)
2.7.8.23-RXN	brassica_napus	REVERSIBLE	EC-2.7.8.23	carboxyvinyl-carboxyphosphonate phosphorylmutase
HISTALDEHYD-RXN	brassica_napus	LEFT-TO-RIGHT		histidinal dehydrogenase
GLUCISOM-RXN	brassica_napus	REVERSIBLE	EC-5.3.1.5	glucose isomerase
GLUCISOM-RXN				xylose isomerase
CHLOROPHYLLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.14	
RXN-12444	brassica_napus	LEFT-TO-RIGHT	EC-1.5.1.38	FMN reductase
RXN66-477	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	straight chain fatty acyl-CoA ligase
RXN66-477				long-chain fatty acid-CoA ligase
RXN66-477				decanoate--CoA ligase
RXN-8661	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11	[histone-H3]-lysine-36 demethylase
RXN-8661				JHDM1A
RXN-8661				JmjC domain-containing histone demethylase 1A
RXN-8661				H3-K36-specific demethylase
RXN-8661				histone-lysine (H3-K36) demethylase
RXN-8661				histone demethylase
RXN-8661				protein-6-N,6-N-dimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase
FORMYLTHFDEFORMYL-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.10	formyltetrahydrofolate deformylase
4.2.1.58-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	(3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase
4.2.1.58-RXN			EC-2.3.1.85	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
4.2.1.58-RXN			EC-4.2.1.59	crotonoyl-[acyl-carrier-protein] hydratase
4.2.1.58-RXN				fatty-acyl-CoA synthase
4.2.1.58-RXN				fatty acid synthase
4.2.1.58-RXN				(3R)-3-hydroxybutanoyl-[acyl-carrier protein] dehydratase
4.2.1.58-RXN				&beta;-hydroxybutyryl acyl carrier protein (ACP) dehydrase
4.2.1.58-RXN				&beta;-hydroxybutyryl acyl carrier protein dehydrase
4.2.1.58-RXN				enoyl acyl carrier protein hydrase
4.2.1.58-RXN				crotonyl acyl carrier protein hydratase
4.2.1.58-RXN				3-hydroxybutyryl acyl carrier protein dehydratase
4.2.1.58-RXN				&beta;-hydroxybutyryl acyl carrier  protein dehydrase
4.2.1.58-RXN				(3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase (but-2-enoyl-[acyl-carrier protein]-forming)
4.2.1.58-RXN				(3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase
RXN0-2605	brassica_napus	LEFT-TO-RIGHT	EC-3.1.11.5	ATP dependent DNA helicase and dsDNA/ssDNA exonuclease, ssDNA endonuclease
PROTOHEMEFERROCHELAT-RXN	brassica_napus	REVERSIBLE	EC-4.99.1.1	ferrochelatase
SUCROSE-PHOSPHATE-SYNTHASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.14	sucrose-phosphate synthase
SUCROSE-PHOSPHATE-SYNTHASE-RXN				sucrose phosphate synthase
RXN-8344	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.75	molybdopterin adenylyltransferase
RXN-16248	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.40	naringin &alpha;-L-rhamnosidase
TYROSINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.1	tyrosine-tRNA ligase
UROGENDECARBOX-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.37	uroporphyrinogen decarboxylase
RXN-17798	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
RXN-18302	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.241	digalactosyldiacylglycerol synthase
RXN-5482	brassica_napus	LEFT-TO-RIGHT		UDP-L-rhamnose synthase
2.4.1.37-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.37	H-antigen &alpha;-D-galactosaminyltransferase
RXN0-747	brassica_napus	LEFT-TO-RIGHT	EC-1.17.4.1	2'-deoxyadenosine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
RXN0-747				ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
RXN0-6565	brassica_napus	REVERSIBLE	EC-1.3.1.1	dihydropyrimidine dehydrogenase
RXN-8581	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.90	aryl-alcohol dehydrogenase (NAD+)
NITRATE-REDUCTASE-NADH-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.7.1.1	nitrate reductase (NADH)
2.7.8.15-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.8.15	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.88	hydroxymethylglutaryl-CoA reductase
RXN-9787	brassica_napus	REVERSIBLE	EC-2.8.1.7	cysteine:[ThiI sulfur-carrier protein]-L-cysteine sulfurtransferase desulfurase
RXN-9787				cysteine desulfurase
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase
RXN66-484	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	long-chain fatty acid-CoA ligase
RXN66-484				decanoate--CoA ligase
RXN-14283	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.20	alpha-1,4-glucosidase
2.7.1.160-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.160	tRNA 2'-phosphotransferase
RXN-1345	brassica_napus	LEFT-TO-RIGHT		
1.1.1.211-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.211	
RXN-8147	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.31	thebaine 6-O-demethylase
GLUTDECARBOX-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.15	glutamate decarboxylase
RXN-13430	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.2	
RXN-12239	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.82	CMP-legionaminic acid synthase
CORTISONE-ALPHA-REDUCTASE-RXN	brassica_napus	REVERSIBLE	EC-1.3.1.22	cortisone &alpha;-reductase
CORTISONE-ALPHA-REDUCTASE-RXN				cholestenone 5-alpha-reductase
CORTISONE-ALPHA-REDUCTASE-RXN				cortisone &Delta;4-5&alpha;-reductase
CORTISONE-ALPHA-REDUCTASE-RXN				microsomal steroid reductase (5&alpha;)
CORTISONE-ALPHA-REDUCTASE-RXN				&Delta;4-3-ketosteroid reductase (5&alpha;)
CORTISONE-ALPHA-REDUCTASE-RXN				&Delta;4-3-oxosteroid-5&alpha;-reductase
CORTISONE-ALPHA-REDUCTASE-RXN				NADPH:&Delta;4-3-oxosteroid-5&alpha;-oxidoreductase
CORTISONE-ALPHA-REDUCTASE-RXN				&Delta;4-5&alpha;-reductase
RXN-9222	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.39	4-hydroxybenzoate decaprenyltransferase
RXN-9222				4-hydroxybenzoate nonaprenyltransferase
AMINOCYL-TRNA-HYDROLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.29	peptidyl-tRNA hydrolase
AMINOCYL-TRNA-HYDROLASE-RXN				aminoacyl-tRNA hydrolase
RXN-5469	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.261	dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
1.1.1.283-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.283	methylglyoxal reductase (NADPH-dependent)
RXN-10972	brassica_napus	LEFT-TO-RIGHT	EC-2.7.4.24	diphosphoinositol-pentakisphosphate kinase
GUANOSINEKIN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.73	guanosine kinase
RXN66-10	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.72	delta24-sterol reductase
RXN1F-165	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11	
4.2.1.61-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.86	fatty-acyl-CoA synthase
4.2.1.61-RXN			EC-2.3.1.85	3-hydroxyacyl-[acyl-carrier-protein] dehydratase
4.2.1.61-RXN			EC-4.2.1.59	fatty acid synthase
4.2.1.61-RXN				(3R)-3-hydroxypalmitoyl-[acyl-carrier protein] dehydratase
4.2.1.61-RXN				D-3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase
4.2.1.61-RXN				&beta;-hydroxypalmitoyl-acyl carrier protein dehydrase
4.2.1.61-RXN				&beta;-hydroxypalmitoyl thioester dehydratase
4.2.1.61-RXN				&beta;-hydroxypalmityl-ACP dehydrase
4.2.1.61-RXN				(3R)-3-hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase
4.2.1.61-RXN				(3R)-3-hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase (hexadec-2-enoyl-[acyl-carrier protein]-forming)
RXN66-317	brassica_napus	LEFT-TO-RIGHT		4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol 4-hydroxylase
RXN66-317				C-4 methylsterol oxidase
RXN-13446	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2	
RXN-14797	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.119	trans--2-enoyl-CoA hydratase 2
RXN0-7229	brassica_napus	LEFT-TO-RIGHT	EC-1.1.99.14	glycolate dehydrogenase
RXN-8014	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1	
2.1.3.9-RXN	brassica_napus	REVERSIBLE	EC-2.1.3.9	acetylornithine transcarbamylase
RXN-12382	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.215	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
3.5.2.17-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.2.17	hydroxyisourate hydrolase
3.5.2.17-RXN				5-hydroxyisourate hydrolase
RXN1G-526	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	trans-tetracos-2-enoyl-[acyl-carrier protein] reductase
RXN1G-526				enoyl-[acyl-carrier-protein] reductase (NADH)
5.4.4.3-RXN	brassica_napus	REVERSIBLE	EC-5.4.4.3	3-(hydroxyamino)phenol mutase
RXN0-1133	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.12	dihydrolipoyllysine-residue acetyltransferase
5-FORMYL-THF-CYCLO-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.3.2	5-formyltetrahydrofolate cyclo-ligase
RXN-8134	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.147	thioglucosidase
RXN-12479	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.225	adenosine4 in tRNAHis 2'-O-methyltransferase
RXN-12973	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.14	palmitoyl-[acyl-carrier-protein] hydrolase
RXN-12973				acyl-[acyl-carrier-protein] hydrolase
RXN-12973				oleoyl-[acyl-carrier-protein] hydrolase
RXN0-2382	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.122	tryptophan synthase
RXN0-2382				L-serine hydro-lyase (adding indole, L-tryptophan-forming)
2.7.1.151-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.151	inositol-1,4,5-trisphosphate 6-kinase
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.42	L-valine transaminase
BRANCHED-CHAINAMINOTRANSFERILEU-RXN				branched-chain-amino-acid transaminase
BRANCHED-CHAINAMINOTRANSFERILEU-RXN				L-leucine transaminase
TREHALOSEPHOSPHA-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.12	trehalose-phosphatase
TREHALOSEPHOSPHA-RXN				trehalose-6-phosphate phosphatase
