gene	in@metabolic_network	TRANSCRIPTION-DIRECTION	RIGHT-END-POSITION	LEFT-END-POSITION	CENTISOME-POSITION
BnaC09g43450D	brassica_napus	NEGATIVE	44752172	44748757	92.24984    
BnaC02g28770D	brassica_napus	NEGATIVE	27976718	27974572	60.52246    
BnaC03g15710D	brassica_napus	NEGATIVE	7922071	7920195	13.07537    
BnaC05g47680D	brassica_napus	POSITIVE	42584526	42581506	98.60201    
BnaC04g48180D	brassica_napus	NEGATIVE	46923518	46921564	95.89483    
BnaC03g32690D	brassica_napus	NEGATIVE	20039577	20037440	33.079605    
BnaA09g09640D	brassica_napus	NEGATIVE	4847038	4843470	14.302145    
BnaA02g15230D	brassica_napus	NEGATIVE	8771153	8770279	35.372963    
BnaA09g52610D	brassica_napus	NEGATIVE	524248	520488	12.589288    
BnaA06g24090D	brassica_napus	NEGATIVE	16643973	16641952	68.21483    
BnaC03g68910D	brassica_napus	POSITIVE	58620767	58618553	96.77277    
BnaA10g25680D	brassica_napus	NEGATIVE	16477152	16474375	94.68996    
BnaA03g04780D	brassica_napus	POSITIVE	2229069	2225456	7.4761295    
BnaCnng25440D	brassica_napus	NEGATIVE	23927935	23927009	29.659668    
BnaCnng38880D	brassica_napus	NEGATIVE	37522633	37521864	46.511707    
BnaA01g06180D	brassica_napus	NEGATIVE	2870025	2868700	12.329025    
BnaA05g01990D	brassica_napus	POSITIVE	1113546	1112219	4.8215637    
BnaA09g22690D	brassica_napus	POSITIVE	15269073	15266653	45.080463    
BnaA02g00990D	brassica_napus	POSITIVE	380014	378836	1.5279504    
BnaA07g09770D	brassica_napus	POSITIVE	9484296	9483338	39.503178    
BnaC02g15640D	brassica_napus	NEGATIVE	11269573	11268878	24.380005    
BnaA08g25160D	brassica_napus	NEGATIVE	17373213	17371513	91.612526    
BnaA06g38360D	brassica_napus	POSITIVE	517588	513668	22.462502    
BnaA09g44830D	brassica_napus	POSITIVE	30728591	30727292	90.73375    
BnaC08g22330D	brassica_napus	NEGATIVE	25044372	25042936	65.08532    
BnaA03g39140D	brassica_napus	NEGATIVE	19502461	19500993	65.51104    
BnaA08g08280D	brassica_napus	NEGATIVE	8163432	8159684	43.031902    
BnaC09g24340D	brassica_napus	POSITIVE	22362964	22361277	46.09791    
BnaA10g24670D	brassica_napus	NEGATIVE	16085225	16084677	92.45009    
BnaA02g23960D	brassica_napus	POSITIVE	17255607	17254075	69.59047    
BnaC07g23170D	brassica_napus	NEGATIVE	29781363	29779974	66.51699    
BnaA09g18880D	brassica_napus	POSITIVE	11827349	11821577	34.907597    
BnaAnng26290D	brassica_napus	POSITIVE	30201297	30198362	62.06206    
BnaA04g02940D	brassica_napus	NEGATIVE	1938368	1936704	10.11246    
BnaA04g18590D	brassica_napus	POSITIVE	14794188	14792281	77.237595    
BnaC09g27910D	brassica_napus	NEGATIVE	29779406	29776955	61.38538    
BnaC01g43580D	brassica_napus	NEGATIVE	3140128	3138510	70.725075    
BnaA09g21600D	brassica_napus	NEGATIVE	14261778	14255380	42.094307    
BnaA06g07260D	brassica_napus	POSITIVE	3872304	3868981	15.8588295    
BnaC08g14220D	brassica_napus	POSITIVE	19083676	19082798	49.595226    
BnaC01g15550D	brassica_napus	POSITIVE	10676484	10675439	27.493244    
BnaC05g23280D	brassica_napus	POSITIVE	17483866	17474953	40.465115    
BnaA10g23420D	brassica_napus	NEGATIVE	15482547	15475278	88.94744    
BnaC02g47790D	brassica_napus	NEGATIVE	3930307	3928860	76.32417    
BnaC08g18980D	brassica_napus	NEGATIVE	21933325	21933110	57.00304    
BnaA07g18660D	brassica_napus	POSITIVE	15152744	15151435	63.11383    
BnaA08g24370D	brassica_napus	NEGATIVE	17076642	17075040	90.04902    
BnaC09g03330D	brassica_napus	NEGATIVE	1881342	1878893	3.8733497    
BnaA03g39600D	brassica_napus	NEGATIVE	19757827	19741376	66.31858    
BnaA06g00530D	brassica_napus	NEGATIVE	279210	277807	1.138722    
BnaC03g28650D	brassica_napus	POSITIVE	16948035	16946504	27.97681    
BnaA08g18880D	brassica_napus	POSITIVE	14666890	14666096	77.34491    
BnaC07g19940D	brassica_napus	NEGATIVE	26718441	26717332	59.67623    
BnaC09g35390D	brassica_napus	POSITIVE	38768590	38767022	79.918465    
BnaC06g42050D	brassica_napus	POSITIVE	1399721	1398288	41.537743    
BnaC03g13620D	brassica_napus	NEGATIVE	6579450	6577753	10.859146    
BnaA01g23810D	brassica_napus	NEGATIVE	16183661	16177799	69.528534    
BnaC04g25230D	brassica_napus	POSITIVE	26186128	26182792	53.510456    
BnaCnng21660D	brassica_napus	NEGATIVE	20260725	20259570	25.11355    
BnaA07g33690D	brassica_napus	NEGATIVE	23047394	23045205	95.995605    
BnaA09g36420D	brassica_napus	POSITIVE	26360382	26359195	77.83532    
BnaC02g17180D	brassica_napus	NEGATIVE	12625019	12624187	27.31219    
BnaC05g01470D	brassica_napus	POSITIVE	763748	761180	1.7625935    
BnaC05g37500D	brassica_napus	NEGATIVE	36485649	36482142	84.478294    
BnaA03g05790D	brassica_napus	POSITIVE	2637372	2633893	8.84822    
BnaAnng00640D	brassica_napus	NEGATIVE	526400	523320	1.0754993    
BnaA05g05340D	brassica_napus	NEGATIVE	2764224	2762383	11.975165    
BnaC06g06230D	brassica_napus	NEGATIVE	6784058	6782835	18.220716    
BnaA04g13630D	brassica_napus	POSITIVE	11529130	11524672	60.175835    
BnaA09g55530D	brassica_napus	POSITIVE	3282883	3280990	79.35885    
BnaC02g41710D	brassica_napus	NEGATIVE	44502649	44498649	96.27199    
BnaA04g02810D	brassica_napus	NEGATIVE	1878948	1878287	9.807437    
BnaC01g08020D	brassica_napus	POSITIVE	4237967	4234208	10.904668    
BnaA10g20480D	brassica_napus	POSITIVE	14319133	14318759	82.3001    
BnaC03g67430D	brassica_napus	POSITIVE	57108803	57107423	94.27807    
BnaC02g06800D	brassica_napus	POSITIVE	3647861	3645845	7.887717    
BnaC01g21880D	brassica_napus	POSITIVE	15330401	15328736	39.477222    
BnaC01g39590D	brassica_napus	NEGATIVE	38227265	38226328	98.447075    
BnaA03g14150D	brassica_napus	POSITIVE	6499583	6498454	21.83071    
BnaA05g28550D	brassica_napus	NEGATIVE	20249838	20248186	87.77761    
BnaA09g15250D	brassica_napus	NEGATIVE	8881417	8875925	26.209467    
BnaC07g50100D	brassica_napus	POSITIVE	2420625	2418857	82.02150    
BnaC02g26810D	brassica_napus	POSITIVE	24639310	24637813	53.30344    
BnaA09g28160D	brassica_napus	POSITIVE	21044302	21041050	62.13152    
BnaA08g29020D	brassica_napus	POSITIVE	18920053	18918530	99.77107    
BnaC04g51640D	brassica_napus	NEGATIVE	48871506	48870076	99.877045    
BnaC09g54010D	brassica_napus	NEGATIVE	3893106	3891717	87.693115    
BnaA03g16050D	brassica_napus	NEGATIVE	7446860	7436219	24.981009    
BnaC01g01960D	brassica_napus	NEGATIVE	992083	990652	2.551299    
BnaC03g70770D	brassica_napus	NEGATIVE	60367540	60366107	99.6578    
BnaC02g41060D	brassica_napus	POSITIVE	44054181	44052897	95.30761    
BnaCnng55470D	brassica_napus	POSITIVE	55403282	55401075	68.67459    
BnaC01g10540D	brassica_napus	POSITIVE	6266645	6264984	16.134674    
BnaC04g37570D	brassica_napus	NEGATIVE	38883827	38881320	79.46277    
BnaA07g25280D	brassica_napus	POSITIVE	18838260	18836854	78.465576    
BnaA06g29470D	brassica_napus	NEGATIVE	20078646	20075673	82.289536    
BnaCnng31750D	brassica_napus	POSITIVE	30173717	30171609	37.400406    
BnaC03g07700D	brassica_napus	NEGATIVE	3630938	3630148	5.9929748    
BnaC03g37600D	brassica_napus	NEGATIVE	23018656	23016407	37.997555    
BnaC04g39780D	brassica_napus	POSITIVE	40756008	40746268	83.27421    
BnaA02g28640D	brassica_napus	NEGATIVE	21051907	21048145	84.89299    
BnaC03g30450D	brassica_napus	POSITIVE	18530447	18528653	30.588764    
BnaA01g15580D	brassica_napus	POSITIVE	7973533	7971319	34.25893    
BnaC09g51060D	brassica_napus	NEGATIVE	164788	162034	3.6511562    
BnaA03g08600D	brassica_napus	NEGATIVE	3889606	3887979	13.061158    
BnaC01g28620D	brassica_napus	NEGATIVE	26584038	26580750	68.45536    
BnaC04g21560D	brassica_napus	NEGATIVE	22609144	22608935	46.20647    
BnaC07g32400D	brassica_napus	NEGATIVE	36054887	36054225	80.53125    
BnaCnng77280D	brassica_napus	NEGATIVE	78494615	78492822	97.298874    
BnaA09g45660D	brassica_napus	NEGATIVE	31204281	31203785	92.14076    
BnaAnng07370D	brassica_napus	NEGATIVE	7233575	7226035	14.850561    
BnaC02g03210D	brassica_napus	NEGATIVE	1531667	1530032	3.3101954    
BnaA05g19670D	brassica_napus	NEGATIVE	15070194	15066223	65.313354    
BnaC07g16810D	brassica_napus	POSITIVE	22816540	22814318	50.9584    
BnaA06g25960D	brassica_napus	NEGATIVE	17950465	17949890	73.57602    
BnaA09g48720D	brassica_napus	NEGATIVE	32576123	32574958	96.18967    
BnaA01g11850D	brassica_napus	NEGATIVE	5916724	5916293	25.426895    
BnaC02g21360D	brassica_napus	POSITIVE	18204345	18202369	39.380478    
BnaC03g20620D	brassica_napus	POSITIVE	10941091	10938465	18.0582    
BnaCnng16150D	brassica_napus	NEGATIVE	15232469	15228198	18.876713    
BnaC03g60280D	brassica_napus	NEGATIVE	49439536	49437707	81.61621    
BnaC04g15320D	brassica_napus	NEGATIVE	13065333	13060706	26.692507    
BnaA09g23390D	brassica_napus	NEGATIVE	16030882	16029051	47.33173    
BnaC04g33210D	brassica_napus	NEGATIVE	34844067	34842163	71.20784    
BnaA05g36400D	brassica_napus	POSITIVE	2358262	2355644	78.06398    
BnaC09g29660D	brassica_napus	NEGATIVE	32291218	32289762	66.56555    
BnaCnng41830D	brassica_napus	NEGATIVE	40742344	40741003	50.502117    
BnaC02g44950D	brassica_napus	POSITIVE	728046	724952	14.083312    
BnaC04g43570D	brassica_napus	POSITIVE	43909513	43907818	89.73555    
BnaCnng27920D	brassica_napus	NEGATIVE	26505363	26502943	32.852768    
BnaC05g10260D	brassica_napus	POSITIVE	5784090	5781741	13.388237    
BnaC03g13180D	brassica_napus	NEGATIVE	6331950	6329358	10.449073    
BnaAnng11690D	brassica_napus	NEGATIVE	12599767	12598974	25.89274    
BnaA09g55780D	brassica_napus	POSITIVE	3410757	3410019	82.47974    
BnaC05g01940D	brassica_napus	NEGATIVE	941739	941210	2.1794722    
BnaA03g05950D	brassica_napus	NEGATIVE	2710168	2709084	9.100814    
BnaA02g15870D	brassica_napus	POSITIVE	9298386	9296238	37.4943    
BnaAnng02030D	brassica_napus	NEGATIVE	1399618	1398492	2.8741062    
BnaA03g54450D	brassica_napus	NEGATIVE	29055072	29054041	97.60326    
BnaA05g11980D	brassica_napus	POSITIVE	6811895	6808853	29.516956    
BnaA05g19890D	brassica_napus	POSITIVE	15296940	15293440	66.29836    
BnaCnng76320D	brassica_napus	NEGATIVE	77464897	77463872	96.0234    
BnaA04g09790D	brassica_napus	NEGATIVE	8767673	8765559	45.769188    
BnaC03g41570D	brassica_napus	NEGATIVE	26503118	26499607	43.747936    
BnaC06g14760D	brassica_napus	POSITIVE	17518218	17512004	47.04246    
BnaA04g18650D	brassica_napus	NEGATIVE	14862150	14860142	77.59193    
BnaA07g14930D	brassica_napus	NEGATIVE	13047469	13046355	54.345047    
BnaA02g07850D	brassica_napus	POSITIVE	3733453	3728993	15.040061    
BnaA09g42540D	brassica_napus	POSITIVE	29619169	29616080	87.452484    
BnaA10g22550D	brassica_napus	NEGATIVE	15172069	15168713	87.18539    
BnaAnng10700D	brassica_napus	NEGATIVE	11525085	11524022	23.683556    
BnaA01g23360D	brassica_napus	NEGATIVE	15717428	15716078	67.54416    
BnaC04g50050D	brassica_napus	NEGATIVE	47865839	47861178	97.81513    
BnaC08g05980D	brassica_napus	POSITIVE	8537887	8537091	22.187468    
BnaA09g20630D	brassica_napus	NEGATIVE	13476138	13474802	39.78936    
BnaC01g06920D	brassica_napus	NEGATIVE	3636768	3636595	9.365591    
BnaA07g15100D	brassica_napus	POSITIVE	13148398	13147903	54.76805    
BnaA09g45190D	brassica_napus	POSITIVE	30942586	30939482	91.36032    
BnaA09g18250D	brassica_napus	NEGATIVE	11374683	11371780	33.579407    
BnaC06g14380D	brassica_napus	POSITIVE	17168394	17166097	46.11325    
BnaA01g22650D	brassica_napus	NEGATIVE	14959023	14957790	64.28521    
BnaA07g21910D	brassica_napus	NEGATIVE	16883684	16882803	70.32591    
BnaAnng03530D	brassica_napus	NEGATIVE	3469305	3467688	7.126608    
BnaA03g47100D	brassica_napus	POSITIVE	24157455	24156684	81.15123    
BnaC09g27430D	brassica_napus	POSITIVE	29247675	29247114	60.29311    
BnaC01g30110D	brassica_napus	NEGATIVE	28565415	28562777	73.55982    
BnaA08g28280D	brassica_napus	NEGATIVE	18638375	18634375	98.27252    
BnaA06g00900D	brassica_napus	POSITIVE	626536	624452	2.5596087    
BnaC03g17780D	brassica_napus	POSITIVE	9078640	9075229	14.982204    
BnaA09g00390D	brassica_napus	NEGATIVE	180003	178822	0.5280384    
BnaC04g51420D	brassica_napus	NEGATIVE	48714685	48710949	99.551834    
BnaC05g21550D	brassica_napus	NEGATIVE	15256650	15253608	35.321354    
BnaA03g25850D	brassica_napus	NEGATIVE	12580936	12579501	42.259193    
BnaA05g05740D	brassica_napus	NEGATIVE	3008318	3006750	13.034516    
BnaA10g08420D	brassica_napus	NEGATIVE	7168401	7167160	41.19477    
BnaC05g20900D	brassica_napus	POSITIVE	14507486	14507205	33.59298    
BnaA09g02820D	brassica_napus	NEGATIVE	1437124	1435823	4.239801    
BnaC03g33490D	brassica_napus	NEGATIVE	20403429	20401180	33.680103    
BnaC07g38020D	brassica_napus	NEGATIVE	39506920	39504317	88.23743    
BnaC06g32680D	brassica_napus	NEGATIVE	32799077	32796068	88.10001    
BnaC02g37400D	brassica_napus	POSITIVE	40311818	40310273	87.21051    
BnaC09g31650D	brassica_napus	POSITIVE	34658746	34654631	71.440735    
BnaA09g50540D	brassica_napus	NEGATIVE	33417539	33415896	98.67285    
BnaC08g24280D	brassica_napus	POSITIVE	26302347	26298266	68.34786    
BnaC06g36280D	brassica_napus	NEGATIVE	34887183	34884577	93.710365    
BnaCnng11060D	brassica_napus	NEGATIVE	10349977	10346812	12.825799    
BnaA06g36920D	brassica_napus	POSITIVE	24102972	24100895	98.788795    
BnaA07g34210D	brassica_napus	NEGATIVE	23312410	23311592	97.105255    
BnaA05g07590D	brassica_napus	POSITIVE	4126897	4125407	17.883991    
BnaA07g17130D	brassica_napus	NEGATIVE	14397256	14395333	59.964264    
BnaA07g26930D	brassica_napus	POSITIVE	19656302	19655331	81.87497    
BnaAnng04990D	brassica_napus	POSITIVE	5558180	5552480	11.411161    
BnaA09g56480D	brassica_napus	POSITIVE	3748523	3746950	90.62924    
BnaC03g64970D	brassica_napus	POSITIVE	54364901	54362589	89.74665    
BnaA04g08890D	brassica_napus	POSITIVE	7949467	7948732	41.504143    
BnaA03g15310D	brassica_napus	POSITIVE	7107048	7105966	23.871567    
BnaAnng20220D	brassica_napus	POSITIVE	22002320	22000479	45.21421    
BnaC07g20950D	brassica_napus	NEGATIVE	27591583	27590945	61.627544    
BnaA01g00260D	brassica_napus	POSITIVE	106649	106287	0.45679757    
BnaCnng68210D	brassica_napus	NEGATIVE	67775500	67773789	84.01167    
BnaA01g37280D	brassica_napus	NEGATIVE	2590775	2589985	96.37924    
BnaA10g03670D	brassica_napus	NEGATIVE	1963284	1958333	11.255934    
BnaA06g34110D	brassica_napus	NEGATIVE	22570122	22565921	92.49698    
BnaC03g06190D	brassica_napus	NEGATIVE	3002805	3000615	4.953685    
BnaC04g05890D	brassica_napus	POSITIVE	4173821	4172087	8.526603    
BnaC09g21740D	brassica_napus	POSITIVE	18927880	18926270	39.016624    
BnaA05g10920D	brassica_napus	NEGATIVE	5998571	5997441	25.999418    
BnaC03g11830D	brassica_napus	POSITIVE	5740685	5739471	9.475235    
BnaA06g31420D	brassica_napus	NEGATIVE	21124836	21123741	86.585526    
BnaA05g29730D	brassica_napus	NEGATIVE	20668131	20666219	89.58982    
BnaC05g49400D	brassica_napus	POSITIVE	276816	276403	7.4136963    
BnaC03g09060D	brassica_napus	NEGATIVE	4282280	4279974	7.0657654    
BnaC03g36350D	brassica_napus	POSITIVE	21955479	21952496	36.241154    
BnaC01g06140D	brassica_napus	NEGATIVE	3233286	3231007	8.321050    
BnaC06g29400D	brassica_napus	POSITIVE	30329759	30327759	81.4694    
BnaA04g04550D	brassica_napus	NEGATIVE	3351896	3350516	17.49465    
BnaC05g13580D	brassica_napus	POSITIVE	7850125	7847604	18.171963    
BnaA05g30160D	brassica_napus	NEGATIVE	20876261	20875797	90.49835    
BnaA03g27650D	brassica_napus	NEGATIVE	13592283	13589898	45.65349    
BnaC01g01500D	brassica_napus	NEGATIVE	718924	717018	1.8465893    
BnaC06g15560D	brassica_napus	POSITIVE	18358092	18356202	49.310226    
BnaA07g22580D	brassica_napus	NEGATIVE	17190571	17187106	71.59349    
BnaC07g29660D	brassica_napus	POSITIVE	34342835	34338796	76.699646    
BnaA08g12780D	brassica_napus	POSITIVE	11287620	11285446	59.516304    
BnaA07g31000D	brassica_napus	POSITIVE	21794824	21792964	90.77935    
BnaC08g22490D	brassica_napus	NEGATIVE	25123473	25122742	65.29273    
BnaCnng74900D	brassica_napus	NEGATIVE	75834535	75832964	94.00173    
BnaC08g35360D	brassica_napus	POSITIVE	33259779	33258853	86.43807    
BnaUnng02930D	brassica_napus	POSITIVE	4122750	4122541	49.562294    
BnaC05g49560D	brassica_napus	NEGATIVE	391355	385724	10.34591    
BnaCnng55310D	brassica_napus	NEGATIVE	55153397	55150317	68.36375    
BnaA09g36610D	brassica_napus	NEGATIVE	26436907	26435784	78.06147    
BnaA08g27350D	brassica_napus	POSITIVE	18263440	18262109	96.30928    
BnaC08g49720D	brassica_napus	POSITIVE	4315535	4313713	95.45877    
BnaC05g28630D	brassica_napus	NEGATIVE	26906057	26903455	62.29782    
BnaC06g00250D	brassica_napus	NEGATIVE	406832	406512	1.0920124    
BnaA06g35290D	brassica_napus	POSITIVE	23253944	23251947	95.30898    
BnaA07g17930D	brassica_napus	NEGATIVE	14817789	14814970	61.712276    
BnaC01g41040D	brassica_napus	NEGATIVE	265000	260402	5.8680553    
BnaA09g38060D	brassica_napus	NEGATIVE	27285380	27283793	80.56554    
BnaA10g26860D	brassica_napus	NEGATIVE	17044484	17042740	97.95676    
BnaA05g03180D	brassica_napus	NEGATIVE	1723384	1722602	7.467626    
BnaC06g09030D	brassica_napus	POSITIVE	10696707	10694339	28.728182    
BnaC04g44140D	brassica_napus				
BnaC09g10420D	brassica_napus	POSITIVE	7050601	7048799	14.531143    
BnaA08g02860D	brassica_napus	POSITIVE	2280379	2278450	12.015912    
BnaA01g08400D	brassica_napus	NEGATIVE	4021694	4021283	17.282568    
BnaC09g54450D	brassica_napus	POSITIVE	4274226	4272515	96.273735    
BnaC04g16450D	brassica_napus	NEGATIVE	14492805	14488021	29.609547    
BnaC07g36900D	brassica_napus	POSITIVE	38794615	38790651	86.64337    
BnaC02g40580D	brassica_napus	NEGATIVE	43659657	43658813	94.45502    
BnaC08g38940D	brassica_napus	POSITIVE	34937754	34936293	90.79765    
BnaA10g19840D	brassica_napus	POSITIVE	13984845	13982546	80.367645    
BnaA03g20210D	brassica_napus	NEGATIVE	9618328	9616211	32.304405    
BnaA09g26060D	brassica_napus	NEGATIVE	19183938	19182038	56.642097    
BnaC01g19100D	brassica_napus	POSITIVE	13236155	13235043	34.085182    
BnaA10g23580D	brassica_napus	NEGATIVE	15549115	15547152	89.36055    
BnaC03g14950D	brassica_napus	NEGATIVE	7290097	7289178	12.03363    
BnaA04g27300D	brassica_napus	POSITIVE	30291	28465	1.9212805    
BnaA06g29900D	brassica_napus	POSITIVE	20333843	20333280	83.34546    
BnaA06g33800D	brassica_napus	POSITIVE	22416049	22414086	91.87462    
BnaAnng05410D	brassica_napus	POSITIVE	5850350	5848361	12.019240    
BnaA09g29700D	brassica_napus	POSITIVE	22228134	22226210	65.63114    
BnaA06g16300D	brassica_napus	POSITIVE	9080528	9079784	37.217743    
BnaC07g36000D	brassica_napus	NEGATIVE	38269384	38268122	85.47624    
BnaC08g19040D	brassica_napus	POSITIVE	22026624	22023202	57.237183    
BnaC08g21070D	brassica_napus	NEGATIVE	23644869	23641751	61.443718    
BnaC06g36850D	brassica_napus	NEGATIVE	35163238	35160996	94.45291    
BnaC01g10210D	brassica_napus	POSITIVE	6009569	6007100	15.470527    
BnaA09g52690D	brassica_napus	POSITIVE	568609	564875	13.662897    
BnaA03g08230D	brassica_napus	POSITIVE	3731697	3729505	12.528786    
BnaA09g55680D	brassica_napus	POSITIVE	3371195	3368352	81.47192    
BnaC01g09660D	brassica_napus	NEGATIVE	5647253	5644743	14.537323    
BnaC05g11300D	brassica_napus	POSITIVE	6630272	6629307	15.350868    
BnaA10g23770D	brassica_napus	POSITIVE	15655206	15652713	89.96728    
BnaCnng06100D	brassica_napus	NEGATIVE	5539727	5538114	6.8649874    
BnaC08g48460D	brassica_napus	NEGATIVE	3408220	3406132	75.37478    
BnaAnng10720D	brassica_napus	POSITIVE	11538730	11535946	23.708061    
BnaCnng37150D	brassica_napus	POSITIVE	35566543	35564739	44.085674    
BnaC08g31050D	brassica_napus	POSITIVE	30540026	30539000	79.369316    
BnaA09g35830D	brassica_napus	POSITIVE	26086740	26085873	77.02824    
BnaC03g66550D	brassica_napus	NEGATIVE	56292424	56289007	92.926956    
BnaC04g17180D	brassica_napus	POSITIVE	15218658	15216587	31.098536    
BnaC04g41450D	brassica_napus	NEGATIVE	42190579	42190196	86.225204    
BnaA05g04390D	brassica_napus	NEGATIVE	2363265	2361633	10.23788    
BnaC05g27770D	brassica_napus	NEGATIVE	25044235	25043840	57.991684    
BnaA07g07020D	brassica_napus	NEGATIVE	7330821	7329545	30.531479    
BnaC08g43670D	brassica_napus	POSITIVE	37257131	37253828	96.82081    
BnaA09g49890D	brassica_napus	NEGATIVE	33116514	33115411	97.78555    
BnaC07g09620D	brassica_napus	POSITIVE	14989671	14988073	33.477585    
BnaAnng17000D	brassica_napus	NEGATIVE	18017899	18016582	37.02672    
BnaC08g15540D	brassica_napus	NEGATIVE	19924454	19924008	51.781487    
BnaC02g01020D	brassica_napus	POSITIVE	441446	438517	0.9487232    
BnaA09g57180D	brassica_napus	NEGATIVE	4066791	4064547	98.31111    
BnaC03g22180D	brassica_napus	POSITIVE	12126847	12124909	20.01689    
BnaC02g43940D	brassica_napus	NEGATIVE	46069088	46066572	99.664154    
BnaC03g19380D	brassica_napus	POSITIVE	10069471	10067020	16.619541    
BnaA02g32440D	brassica_napus	POSITIVE	23328748	23327099	94.08465    
BnaA02g12810D	brassica_napus	NEGATIVE	6924419	6923597	27.924782    
BnaC06g35430D	brassica_napus	NEGATIVE	34400917	34400533	92.41008    
BnaC05g23740D	brassica_napus	NEGATIVE	17781814	17779157	41.16953    
BnaC09g08540D	brassica_napus	NEGATIVE	5429718	5427757	11.189355    
BnaA09g50180D	brassica_napus	NEGATIVE	33245389	33243024	98.162384    
BnaC09g12920D	brassica_napus	POSITIVE	9498279	9496422	19.576935    
BnaA05g22350D	brassica_napus	NEGATIVE	17064474	17061951	73.96501    
BnaA09g20420D	brassica_napus	POSITIVE	13326198	13323616	39.342926    
BnaC08g07810D	brassica_napus	POSITIVE	11417635	11414061	29.664564    
BnaC03g11200D	brassica_napus	POSITIVE	5479146	5478445	9.04431    
BnaA03g16260D	brassica_napus	NEGATIVE	7591708	7589994	25.497595    
BnaA03g34350D	brassica_napus	NEGATIVE	16738891	16738065	56.229347    
BnaC04g35500D	brassica_napus	NEGATIVE	37015638	37010080	75.638466    
BnaA01g26930D	brassica_napus	NEGATIVE	18867569	18865766	81.08081    
BnaA07g36060D	brassica_napus	NEGATIVE	79648	77085	3.7244294    
BnaA03g59500D	brassica_napus	POSITIVE	3361243	3359591	55.85251    
BnaCnng52260D	brassica_napus	POSITIVE	51760382	51758605	64.15942    
BnaC05g39240D	brassica_napus	NEGATIVE	37808606	37806029	87.543884    
BnaC04g49670D	brassica_napus	POSITIVE	47649098	47647176	97.37778    
BnaC02g26300D	brassica_napus	NEGATIVE	23726345	23725139	51.32889    
BnaC03g02610D	brassica_napus	NEGATIVE	1240746	1240003	2.0471084    
BnaC08g24530D	brassica_napus	NEGATIVE	26560945	26559305	69.02628    
BnaA03g09110D	brassica_napus	POSITIVE	4108380	4106337	13.7947035    
BnaA02g17220D	brassica_napus	POSITIVE	10337662	10335829	41.68726    
BnaCnng33610D	brassica_napus	POSITIVE	31864556	31863481	39.49763    
BnaA01g16490D	brassica_napus	POSITIVE	8538261	8536574	36.68827    
BnaCnng07290D	brassica_napus	POSITIVE	6549365	6548431	8.117366    
BnaA09g05640D	brassica_napus	POSITIVE	2767895	2767054	8.170755    
BnaA05g21550D	brassica_napus	POSITIVE	16598509	16594569	71.938866    
BnaCnng11050D	brassica_napus	POSITIVE	10345172	10343360	12.82152    
BnaC02g36170D	brassica_napus	NEGATIVE	39293463	39292837	85.00931    
BnaC04g21300D	brassica_napus	POSITIVE	22159865	22159469	45.287884    
BnaC04g20610D	brassica_napus	NEGATIVE	21700622	21697740	44.34424    
BnaA03g41500D	brassica_napus	POSITIVE	20828386	20826179	69.96284    
BnaCnng25850D	brassica_napus	NEGATIVE	24347956	24344200	30.176813    
BnaA05g10840D	brassica_napus	NEGATIVE	5946447	5942306	25.760403    
BnaCnng55860D	brassica_napus	NEGATIVE	55760428	55759626	69.11904    
BnaC02g05600D	brassica_napus	POSITIVE	2912352	2911647	6.299293    
BnaC09g05150D	brassica_napus	NEGATIVE	3028944	3025311	6.2366977    
BnaC08g06250D	brassica_napus	NEGATIVE	8717237	8715819	22.651972    
BnaC03g48830D	brassica_napus	NEGATIVE	33649816	33645118	55.544388    
BnaC01g40700D	brassica_napus	POSITIVE	49904	48678	1.0969394    
BnaC09g22950D	brassica_napus	NEGATIVE	20268742	20262827	41.77195    
BnaC09g23140D	brassica_napus	NEGATIVE	20493626	20492273	42.244946    
BnaC03g53590D	brassica_napus	POSITIVE	39114185	39113634	64.572296    
BnaC03g03510D	brassica_napus	NEGATIVE	1713415	1712807	2.8276558    
BnaA09g22880D	brassica_napus	NEGATIVE	15464727	15462970	45.660164    
BnaC08g25470D	brassica_napus	NEGATIVE	27177208	27174331	70.62471    
BnaC04g16870D	brassica_napus	POSITIVE	14833551	14829731	30.307907    
BnaA03g05450D	brassica_napus	NEGATIVE	2490211	2487766	8.357326    
BnaC03g07020D	brassica_napus	POSITIVE	3342962	3338789	5.511973    
BnaA01g16440D	brassica_napus	POSITIVE	8497559	8495975	36.513786    
BnaAnng07820D	brassica_napus	NEGATIVE	7912384	7911920	16.260157    
BnaC06g29700D	brassica_napus	NEGATIVE	30549860	30548547	82.0625    
BnaC04g42890D	brassica_napus	NEGATIVE	43366382	43365213	88.62662    
BnaC01g17540D	brassica_napus	NEGATIVE	12060590	12058379	31.054834    
BnaC05g00860D	brassica_napus	NEGATIVE	442575	435436	1.0082985    
BnaC02g16860D	brassica_napus	POSITIVE	12314675	12313905	26.640902    
BnaAnng23130D	brassica_napus	POSITIVE	26119512	26118712	53.677784    
BnaA06g36310D	brassica_napus	POSITIVE	23815153	23813197	97.60953    
BnaC07g04570D	brassica_napus	NEGATIVE	7129929	7127602	15.920317    
BnaC04g26160D	brassica_napus	POSITIVE	27545936	27542267	56.28885    
BnaC03g28410D	brassica_napus	NEGATIVE	16749113	16748028	27.649149    
BnaC09g44200D	brassica_napus	POSITIVE	45149003	45146843	93.0705    
