compound	INCHI-KEY	MOLECULAR-WEIGHT	COMMON-NAME	SMILES
N-Acylsphingosine			a sphing-4-enine ceramide	
N-Acylsphingosine			a (4E)-sphing-4-enine ceramide	
Cis-delta-3-decenoyl-ACPs			a (3Z)-dec-3-enoyl-[acp]	
Cis-delta-3-decenoyl-ACPs			a cis-&Delta;3-decenoyl-[acp]	
Cis-delta-3-decenoyl-ACPs			a (3Z)-dec-3-enoyl-[acyl-carrier protein]	
E-PHENYLITACONYL-COA	InChIKey=CIZCKPNGZPENDV-UMUUVTGISA-I	950.677    	(E)-2-benzylidenesuccinyl-CoA	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)[O-])=CC1(C=CC=CC=1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]
E-PHENYLITACONYL-COA			E-phenylitaconyl-CoA	
INOSITOL-1-4-5-TRISPHOSPHATE	InChIKey=MMWCIQZXVOZEGG-XJTPDSDZSA-H	414.049    	D-myo-inositol (1,4,5)-trisphosphate	C1(O)(C(OP([O-])([O-])=O)C(O)C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(O)1)
INOSITOL-1-4-5-TRISPHOSPHATE			inositol (1,4,5)-trisphosphate	
INOSITOL-1-4-5-TRISPHOSPHATE			1D-myo-inositol (1,4,5)-trisphosphate	
INOSITOL-1-4-5-TRISPHOSPHATE			Ins(1,4,5)P3	
INOSITOL-1-4-5-TRISPHOSPHATE			I(1,4,5)P3	
INOSITOL-1-4-5-TRISPHOSPHATE			InsP3	
INOSITOL-1-4-5-TRISPHOSPHATE			IP3	
INOSITOL-1-4-5-TRISPHOSPHATE			triphosphoinositol	
Rhamnogalacturonans-I			a rhamnogalacturonan type I	
Rhamnogalacturonans-I			a rhamnogalacturonan I	
Rhamnogalacturonans-I			RG I	
Proteins-L-Threonines			a [protein]-L-threonine	
Mannosyl5-N-acetyl-glucosamine2-R			a (mannosyl)5-(N-acetylglucosaminyl)-N-glycan	
CPD-9903	InChIKey=LIEYLSGXGOXYTD-CTBYCIIYSA-M	629.941    	3,4-dihydroxy-5-all-trans-heptaprenylbenzoate	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(=CC(C([O-])=O)=C1)O)O))C)C)C)C)C)C
CPD-9903			3-(3,7,11,15,19,23-heptamethyltetracosa-2,6,10,14,18,22-hexaenyl) -4,5-dihydroxy-benzoic acid	
CPD-9903			3-heptaprenyl-4,5-dihydroxybenzoate	
Mannosyl5-N-Glycans			a (mannosyl)5-N-glycan	
DEOXYXYLULOSE-5P	InChIKey=AJPADPZSRRUGHI-RFZPGFLSSA-L	212.096    	1-deoxy-D-xylulose 5-phosphate	CC(=O)C(O)C(O)COP([O-])(=O)[O-]
DEOXYXYLULOSE-5P			DXP	
DEOXYXYLULOSE-5P			deoxyxylulose-5-phosphate	
DEOXYXYLULOSE-5P			D-1-deoxyxylulose-5-P	
DEOXYXYLULOSE-5P			1-deoxy-D-threo-pentulose 5-phosphate	
DEOXYXYLULOSE-5P			DOXP	
Proteins-With-N-Terminal-Asp			an N-terminal L-aspartyl-[protein]	
Proteins-With-N-Terminal-Asp			a [protein] N-terminal L-aspartate	
LEUCOPELARGONIDIN-CMPD	InChIKey=FSVMLWOLZHGCQX-SOUVJXGZSA-N	290.272    	(2R,3S,4S)-leucopelargonidin	C3(C(C2(OC1(=CC(=CC(=C1C(C2O)O)O)O)))=CC=C(C=3)O)
LEUCOPELARGONIDIN-CMPD			cis-3,4-leucopelargonidin	
Mannosyl8-Nacetylglucosaminyl2			a (mannosyl)8-(N-acetylglucosaminyl)2	
Mannosyl8-Nacetylglucosaminyl2			an {&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-N-acetyl-&beta;-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}	
Mannosyl8-Nacetylglucosaminyl2			{&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-N-acetyl-&beta;-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}	
ALPHA_ACETYLGLUCOSAMINIDES			an N-acetyl-&alpha;-D-glucosaminide	
ALPHA_ACETYLGLUCOSAMINIDES			a &alpha;-acetylglucosaminide	
ASP-tRNAs			tRNAasp	
ASP-tRNAs			TRNA(ASP)	
CPD-13700	InChIKey=CJJBDUCNUMWUJX-ZKTJOKCMSA-J	1089.98    	3-oxo-4-pregnene-20-carboxyl-CoA	CC(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])[CH]6(CC[CH]7([CH]5(CCC4(=CC(=O)CCC(C)4[CH]5CCC(C)67))))
CPD-13700			4-BNC-CoA	
CPD-13700			androst-4-en-3-one-17-propanoyl-CoA	
CPD-13700			3-one-23,24-bisnorchol-4-en-22-yl-CoA	
CPD-13700			pregenenone-coA	
CPD-13700			3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA	
CPD-14282	InChIKey=UVJKZCSQLMWPMV-LQJAWXTISA-J	1112.113    	trans-lignocer-2-enoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O
CPD-14282			trans-2,3-dihydro-lignocerenoyl-CoA	
CPD-14282			(2E)-lignocerenoyl-CoA	
DIVINYL-PROTOCHLOROPHYLLIDE-A		608.935    	3,8-divinyl protochlorophyllide a	C=CC2(C(C)=C4(C=C9(C(C)=C(CCC(=O)[O-])C5(=N([Mg]36(N1(=C(C(C=C)=C(C)C1=CC=2N34)C=C7(C(C)=C8(C(=O)[C-](C(OC)=O)C5=C(N67)8)))))9))))
DIVINYL-PROTOCHLOROPHYLLIDE-A			divinylprotochlorophyllide	
Mannosyl9-Nacetylglucosaminyl2			a (mannosyl)9-(N-acetylglucosaminyl)2	
Mannosyl9-Nacetylglucosaminyl2			an {&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-N-acetyl-&beta;-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}	
Mannosyl9-Nacetylglucosaminyl2			{&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-N-acetyl-&beta;-D-glucosaminyl-(1->4)-N-acetyl-D-glucosaminyl}	
18S-rRNA-N1-methylpseudouridine-1191			an 18S rRNA N1-methylpseudouridine1191	
18S-rRNA-N1-methylpseudouridine-1191			an 18S rRNA containing N1-methylpseudouridine at position 1191	
18S-rRNA-N1-methylpseudouridine-1191			an N1-methylpseudouridine1191 in 18S rRNA	
Proteins-with-correct-disulfides			a protein with correct disulfide bonds	
N-CARBAMOYLGLYCINE	InChIKey=KZVRXPPUJQRGFN-UHFFFAOYSA-M	117.084    	N-carbamoylglycine	C(NC(=O)N)C(=O)[O-]
N-CARBAMOYLGLYCINE			N-carbamoyl glycine	
N-CARBAMOYLGLYCINE			carbamoyl glycine	
N-CARBAMOYLGLYCINE			carbamyl-glycine	
CPD3O-4151	InChIKey=YCCILVSKPBXVIP-UHFFFAOYSA-N	138.166    	4-tyrosol	C1(C(=CC=C(C=1)O)CCO)
CPD3O-4151			p-hydroxyphenylethanol	
CPD3O-4151			2-(4-hydroxyphenyl)ethanol	
Linear-Malto-Oligosaccharides			a linear malto-oligosaccharide	
DEPHOSPHO-COA	InChIKey=KDTSHFARGAKYJN-IBOSZNHHSA-L	685.538    	3'-dephospho-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N3(C=NC2(C(N)=NC=NC=23))))C(O)C(=O)NCCC(=O)NCCS
DEPHOSPHO-COA			3-dephospho-CoA	
DEPHOSPHO-COA			dephosphocoenzyme A	
3-HYDROXY-PROPIONATE	InChIKey=ALRHLSYJTWAHJZ-UHFFFAOYSA-M	89.071    	3-hydroxypropanoate	C(CO)C([O-])=O
3-HYDROXY-PROPIONATE			3-hydroxypropionate	
3-HYDROXY-PROPIONATE			&beta;-hydroxypropionate	
3-HYDROXY-PROPIONATE			3-hydroxypropanoic acid	
3-HYDROXY-PROPIONATE			3-hydropropionic acid	
3-HYDROXY-PROPIONATE			hydracrylic acid	
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P	InChIKey=UPHPWXPNZIOZJL-KXXVROSKSA-A	726.913    	1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate	C1(OP([O-])([O-])=O)(C(OP([O-])([O-])=O)C(OP([O-])(=O)[O-])C(OP([O-])(=O)OP([O-])(=O)[O-])C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])1)
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P			5-PP-InsP5	
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P			diphosphoinositol pentakisphosphate	
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P			5-diphospho-1D-myo-inositol pentakisphosphate	
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P			(1r,2R,3S,4s,5R,6S)-2,3,4,5,6-pentakis(phosphonooxy)cyclohexyl trihydrogen diphosphate	
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P			5-diphospho-1D-myo-inositol 1,2,3,4,6-pentakisphosphate	
Proteins-with-incorrect-disulfides			a protein with incorrect disulfide bonds	
CPD-12699	InChIKey=VMEHOTODTPXCKT-YFKPBYRVSA-N	99.132    	(2R)-2-hydroxy-2-methylbutanenitrile	CCC(C)(O)C#N
18S-rRNA-N6-dimethyladenine1779-1780			an N6-dimethyladenine1779/N6-dimethyladenine1780 in 18S rRNA	
18S-rRNA-N6-dimethyladenine1779-1780			an 18S rRNA N6-dimethyladenine1779/N6-dimethyladenine1780	
CPD-13713	InChIKey=XCADVMZZFPIERR-KQYNXXCUSA-M	473.174    	adenosine 5'-phosphoselenate	C(C3(C(C(C(N2(C1(=C(C(=NC=N1)N)N=C2)))O3)O)O))OP(=O)([O-])O[Se](=O)(=O)O
CPD-13713			adenylyl-selenate	
CPD-13713			APSe	
CPD-13713			adenosine phosphoselenate	
CPD-13713			adenylylselenate	
CPD-13713			adenosine-5'-phosphoselenate	
CPD-4893			sabinene	
Mature-5S-rRNAs			a mature 5S-rRNA	
CPD-9904	InChIKey=KYBJQEICWVEWIL-TUUMQRACSA-M	643.968    	3-methoxy-4-hydroxy-5-all-trans-heptaprenylbenzoate	CC(C)=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1(=C(C(OC)=CC(C([O-])=O)=C1)O))C)C)C)C)C)C
CPD-9904			3-methoxy-4-hydroxy-5-heptaprenylbenzoate	
CPD-9904			3-(3,7,11,15,19,23-heptamethyltetracosa-2,6,10,14,18,22-hexaenyl) -4-hydroxy-5-methoxy-benzoic acid	
CPD-9904			3-heptaprenyl-4-hydroxy-5-methoxybenzoate	
Rhodopsins			a rhodopsin	
Cis-vaccenoyl-ACPs			a cis-vaccenoyl-[acp]	
Cis-vaccenoyl-ACPs			a (Z)-octadec-11-enoyl-[acp]	
Cis-vaccenoyl-ACPs			a (Z)-octadec-11-enoyl-[acyl-carrier-protein]	
Cis-vaccenoyl-ACPs			a cis-vaccenoyl-[acyl-carrier protein]	
CPD-490	InChIKey=ILXHFXFPPZGENN-KKQCNMDGSA-L	228.095    	&alpha;-D-xylose 1-phosphate	C1(C(C(C(CO1)O)O)O)OP([O-])([O-])=O
3-HYDROXY-PROPIONYL-COA	InChIKey=BERBFZCUSMQABM-IEXPHMLFSA-J	835.566    	3-hydroxypropanoyl-CoA	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CCO)=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
3-HYDROXY-PROPIONYL-COA			3-hydroxypropionyl-coenzyme A	
3-HYDROXY-PROPIONYL-COA			3-hydroxypropionyl-CoA	
3-HYDROXY-PROPIONYL-COA			3-hydroxypropanoyl coenzymeA	
OH-ACYL-ACP			a (3R)-3-hydroxyacyl-[acyl-carrier protein]	
OH-ACYL-ACP			a beta-hydroxyacyl-acp	
OH-ACYL-ACP			(3R)-3-hydroxyacyl-[acyl-carrier protein]	
OH-ACYL-ACP			CH3(CH2)xCHOHCH2CO-S-ACP	
OH-ACYL-ACP			beta-OH-acyl-ACP	
OH-ACYL-ACP			beta-hydroxy-acyl-ACP	
OH-ACYL-ACP			a (3R)-3-hydroxyacyl-[acp]	
OH-ACYL-ACP			a beta-hydroxyacyl-[acp]	
OH-ACYL-ACP			a D-3-hydroxy-acyl-[acp]	
OH-ACYL-ACP			a &beta;-OH-acyl-[acp]	
INOSITOL-1-4-BISPHOSPHATE	InChIKey=PELZSPZCXGTUMR-RTPHHQFDSA-J	336.085    	D-myo-inositol (1,4)-bisphosphate	C1(O)(C(O)C(OP(=O)([O-])[O-])C(O)C(O)C(OP([O-])([O-])=O)1)
INOSITOL-1-4-BISPHOSPHATE			Ins(1,4)P2	
INOSITOL-1-4-BISPHOSPHATE			myo-inositol (1,4)-bisphosphate	
INOSITOL-1-4-BISPHOSPHATE			inositol (1,4)-bisphosphate	
INOSITOL-1-4-BISPHOSPHATE			I(1,4)P2	
CPD-12702	InChIKey=NNICRUQPODTGRU-QMMMGPOBSA-N	133.149    	(R)-mandelonitrile	C(C(C1(C=CC=CC=1))O)#N
Rhodoquinols			a rhodoquinol	
Linoleoyl-groups			a [glycerolipid]-linoleate	
Linoleoyl-groups			a [glycerolipid]-cis,cis-9,12-octadecadienoate	
Linoleoyl-groups			a [glycerolipid]-(9Z,12Z)-octadeca-9,12-dienoate	
Linoleoyl-groups			a [glycerolipid]-9,12-linoleic acid	
Linoleoyl-groups			a [glycerolipid]-9-cis,12-cis-octadecadienoate	
Linoleoyl-groups			a linoleoyl-[glycerolipid]	
CPD-14283	InChIKey=GGUUXBBWTGIIGE-KESUDTCVSA-J	1140.167    	trans-cerot-2-enoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O
CPD-14283			trans-2,3-dihydro-cerotenoyl-CoA	
CPD-14283			(2E)-cerotenoyl-CoA	
Rhodoquinones			a rhodoquinone	
Me-CoM	InChIKey=FGMRHOCVEPGURB-UHFFFAOYSA-M	155.206    	methyl-CoM	CSCCS(=O)(=O)[O-]
Me-CoM			CH3-CoM	
Me-CoM			Me-S-CoM	
Me-CoM			Me-CoM	
Me-CoM			2-(methylthio)ethanesulfonate	
Me-CoM			methylcoenzyme M	
Me-CoM			CH3-S-CoM	
Me-CoM			s-methyl-CoM	
GLYCEROL	InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N	92.094    	glycerol	C(C(O)CO)O
GLYCEROL			1,2,3-trihydroxypropane	
GLYCEROL			glycerin	
GLYCEROL			1,2,3-trihydroxypropanol	
18S-rRNA-adenine1779-adenine1780			an adenine1779/adenine1780 in 18S rRNA	
18S-rRNA-adenine1779-adenine1780			an 18S rRNA adenine1779/adenine1780	
DIVINYLCHLOROPHYLLIDE-A		610.951    	3,8-divinyl chlorophyllide a	C=CC2(C(C)=C4(C=C9(C(C)C(CCC(=O)[O-])C5(=N([Mg]36(N1(=C(C(C=C)=C(C)C1=CC=2N34)C=C7(C(C)=C8(C(=O)[C-](C(OC)=O)C5=C(N67)8)))))9))))
Ribonucleoside-Diphosphates			a ribonucleoside diphosphate	
Ribonucleoside-Diphosphates			a nucleoside diphosphate	
Ribonucleoside-Diphosphates			ribonucleoside diphosphate	
Ribonucleoside-Diphosphates			nucleoside diphosphate	
OH-HEXANOYL-COA	InChIKey=VAAHKRMGOFIORX-DWUFXMDISA-J	877.646    	(S)-3-hydroxyhexanoyl-CoA	CCCC(CC(SCCNC(CCNC(C(C(COP(=O)([O-])OP(OCC1(OC(C(C1OP([O-])([O-])=O)O)N3(C=NC2(C(=NC=NC=23)N))))([O-])=O)(C)C)O)=O)=O)=O)O
OH-HEXANOYL-COA			OH-hexanoyl-CoA	
OH-HEXANOYL-COA			3-OH-hexanoyl-CoA	
Lipid-dihydrosterculate			a [glycerolipid]-dihydrosterculate	
Lipid-dihydrosterculate			a [glycerolipid]-dihydrosterculic acid	
5S-RRNA-Precursors			5S rRNA precursor	
GLC	InChIKey=WQZGKKKJIJFFOK-VFUOTHLCSA-N	180.157    	&beta;-D-glucopyranose	C(O)C1(OC(O)C(O)C(O)C(O)1)
GLC			&beta;-D-glucose	
GLC			&beta;-glucose	
INOSITOL-1456-TETRAKISPHOSPHATE	InChIKey=MRVYFOANPDTYBY-YORTWTKJSA-F	492.013    	D-myo-inositol (1,4,5,6)-tetrakisphosphate	C1(O)(C(OP([O-])([O-])=O)C(OP([O-])(=O)[O-])C(OP([O-])(=O)[O-])C(OP(=O)([O-])[O-])C(O)1)
INOSITOL-1456-TETRAKISPHOSPHATE			inositol (1,4,5,6)-tetrakisphosphate	
INOSITOL-1456-TETRAKISPHOSPHATE			1D-myo-inositol (1,4,5,6)-tetrakisphosphate	
INOSITOL-1456-TETRAKISPHOSPHATE			Ins(1,4,5,6)P4	
INOSITOL-1456-TETRAKISPHOSPHATE			I(1,4,5,6)P4	
CPD-13717	InChIKey=ZNWYDQPOUQRDLY-WHFBIAKZSA-N	269.159    	L-selenocystathionine	C([Se]CC(C([O-])=O)[N+])CC([N+])C(=O)[O-]
Ribonucleoside-Monophosphates			a ribonucleoside 5'-monophosphate	
Ribonucleoside-Monophosphates			a 5'-ribonucleotide	
CPD66-21	InChIKey=YEESKJGWJFYOOK-IJHYULJSSA-M	495.653    	leukotriene-D4	CCCCCC=CCC=CC=CC=CC(SCC(C(=O)NCC([O-])=O)[N+])C(CCCC([O-])=O)O
CPD-9914	InChIKey=GGCPIKCAFSGNKM-UHFFFAOYSA-L	221.169    	3-(1-carboxyvinyloxy)anthranilate	C=C(OC1(=CC=CC(=C1N)C(=O)[O-]))C(=O)[O-]
CPD-9914			3-enolpyruvoylanthranilate	
CPD-9914			OPA	
18S-rRNA-pseudouridine-1191			an 18S rRNA pseudouridine1191	
18S-rRNA-pseudouridine-1191			an 18S rRNA containing pseudouridine at position 1191	
18S-rRNA-pseudouridine-1191			a pseudouridine1191 in 18S rRNA	
GLC-1-P	InChIKey=HXXFSFRBOHSIMQ-VFUOTHLCSA-L	258.121    	&alpha;-D-glucopyranose 1-phosphate	C(O)C1(OC(OP(=O)([O-])[O-])C(O)C(O)C(O)1)
GLC-1-P			glucose 1-phosphate	
GLC-1-P			cori ester	
GLC-1-P			D-glucose 1-phosphate	
GLC-1-P			glucose-1P	
GLC-1-P			&alpha;-glucose-1-phosphate	
GLC-1-P			D-glucose-&alpha;-1-phosphate	
GLC-1-P			&alpha;-D-glucose-1-P	
GLC-1-P			D-glucose-1-phosphate	
GLC-1-P			&alpha;-D-glucose 1-phosphate	
CPD-497	InChIKey=PTJWIQPHWPFNBW-GBNDHIKLSA-N	244.204    	pseudouridine	C1(NC(=O)NC(=O)C=1C2(OC(CO)C(O)C(O)2))
5S-rRNAs			a 5S rRNA	
CPD-12724	InChIKey=FXNFHKRTJBSTCS-UHFFFAOYSA-N	270.241    	baicalein	C1(C=CC(=CC=1)C2(=CC(=O)C3(=C(O2)C=C(O)C(O)=C(O)3)))
CPD-12724			5,6,7-trihydroxyflavone	
EIF5A-HYPUSINE			an [eIF5A]-hypusine	
EIF5A-HYPUSINE			an [eIF5A]-N6-[(R)-4-amino-2-hydroxybutyl]-L-lysine	
Lipid-hydroxy-fatty-acids			a hydroxy-fatty-acyl-[lipid]	
DL-12-Propanediol			propane-1,2-diol	
DL-12-Propanediol			1,2-PDO	
DL-12-Propanediol			propylene glycol	
DL-12-Propanediol			1,2-propanediol	
5Z-3-oxo-tetradec-5-enoyl-ACPs			a (5Z)-3-oxo-tetradec-5-enoyl-[acp]	
5Z-3-oxo-tetradec-5-enoyl-ACPs			a 3-oxo-cis-&Delta;5-tetradecenoyl-[acp]	
5Z-3-oxo-tetradec-5-enoyl-ACPs			a 3-oxo-cis-tetradec-5-enoyl-[acp]	
GLC-6-P	InChIKey=NBSCHQHZLSJFNQ-VFUOTHLCSA-L	258.121    	&beta;-D-glucose 6-phosphate	C(C1(OC(C(C(C1O)O)O)O))OP([O-])([O-])=O
GLC-6-P			&beta;-D-glucose-6-P	
Ribonucleoside-Triphosphates			a ribonucleoside triphosphate	
Ribonucleoside-Triphosphates			nucleoside triphosphate	
Ribonucleoside-Triphosphates			ribonucleoside triphosphate	
CPD66-23	InChIKey=JERGUCIJOXJXHF-TVWVXWENSA-N	332.482    	17-&alpha;-hydroxypregnenolone	CC(=O)C3(O)(CC[CH]4([CH]2(CC=C1(CC(O)CCC(C)1[CH]2CCC(C)34))))
CPD-14300	InChIKey=ASKKPQKSCFYPPP-FVLDFCIYSA-J	1069.99    	3-oxo-(11Z)-eicos-11-enoyl-CoA	CCCCCCCCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
NARINGENIN-CMPD	InChIKey=FTVWIRXFELQLPI-ZDUSSCGKSA-N	272.257    	(2S)-naringenin	C3(=C(C2(OC1(C(=C(C=C(C=1)O)O)C(C2)=O)))C=CC(=C3)O)
NARINGENIN-CMPD			(2S)-4',5,7-trihydroxyflavanone	
NARINGENIN-CMPD			(2S)-5,7,4'-trihydroxyflavone	
NARINGENIN-CMPD			(2S)-4',5,7-trihydroxyflavan-4-one	
NARINGENIN-CMPD			(S)-naringenin	
Lipid-linked-16-mannosyl-mannose-oligos			a lipid-linked &alpha;(1->6)-D-mannosyl-D-mannose-oligosaccharide	
Pullulans			pullulan	
Lipid-linked-mannosyl-oligos			a lipid-linked D-mannose-oligosaccharide	
Ribonucleosides			a ribonucleoside	
Ribonucleosides			nucleoside	
EIF5A-LYSINE			an [eIF5A-precursor]-lysine	
EIF5A-LYSINE			an eIF5A-L-lysine	
EIF5A-LYSINE			an eIF5A lysine	
Purine-Bases			a purine base	
Purine-Bases			purine base	
CPD-9923	InChIKey=QJYRAJSESKVEAE-PSASIEDQSA-L	238.196    	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	C1(=CC(O)C(C(=O)[O-])C(=C1)C(=O)CCC(=O)[O-])
CPD-9923			SHCHC	
CPD-9923			(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	
CPD-9923			2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID	
5Z-tetradec-5-enoyl-ACPs			a (5Z)-tetradec-5-enoyl-[acp]	
5-Dephospho-DNA			a 5'-dephospho-[DNA]	
CPD-499	InChIKey=OKZYCXHTTZZYSK-ZCFIWIBFSA-K	225.115    	(R)-mevalonate 5-phosphate	CC(O)(CCOP(=O)([O-])[O-])CC(=O)[O-]
CPD-499			(R)-5-phosphomevalonic acid	
CPD-499			mevalonate-5P	
CPD-499			(R)-5-phosphomevalonate	
CPD-499			(R)-mevalonic acid 5-phosphate	
CPD-499			mevalonate-P	
N-FORMYLKYNURENINE	InChIKey=BYHJHXPTQMMKCA-QMMMGPOBSA-N	236.227    	N-formylkynurenine	[CH](=O)NC1(C=CC=CC=1C(=O)CC([N+])C(=O)[O-])
N-FORMYLKYNURENINE			N-Formyl-L-kynurenine	
CPD-10475	InChIKey=OTKRGWXWWWNPKU-FUEWEDNTSA-J	899.834    	oxidized reactive black 5	C(OS(=O)(=O)[O-])CS(=O)(=O)C1(C=CC(=CC=1)N=NC4(=C(N)C3(C(O)=C(N=NC2(C=CC(S(CCOS(=O)(=O)[O-])(=O)=O)=CC=2))C(S(=O)(=O)[O-])=CC=3C=C(S([O-])(=O)=O)4)))
POLYPEPTIDE			a polypeptide	
CPD-14766	InChIKey=BKBDVQVDRVGXKT-UHFFFAOYSA-N	256.428    	2-hydroxyhexadecanal	CCCCCCCCCCCCCCC(O)[CH]=O
CPD-8122	InChIKey=XJXFAXLUOKQPAQ-YPRLVJTJSA-K	721.529    	molybdopterin adenine dinucleotide	C(C3(C(C(C(N2(C1(=C(C(=NC=N1)N)N=C2)))O3)O)O))OP(OP([O-])(=O)OCC5(O[CH]4(NC6(N=C(NC(=O)C(N[CH]4C(=C5[S-])S)=6)N))))(=O)[O-]
CPD-8122			adenylated molybdopterin	
CPD-8122			H2Dtpp-mADP	
CPD-8122			molybdopterin-AMP	
CPD-8122			adenylyl-molybdopterin	
ACP			a holo-[acyl-carrier protein]	
ACP			a holo-ACP	
ACP			a holo-[acp]	
CPD-618	InChIKey=HHKPKXCSHMJWCF-WVBDSBKLSA-K	203.128    	(2R,3S)-2-methylisocitrate	CC(C(CC([O-])=O)C([O-])=O)(C([O-])=O)O
CPD-618			(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate	
CPD-618			methylisocitric acid	
CPD-618			methylisocitrate	
CPD-618			threo-Ds-2-methylisocitrate	
Gellan			gellan	
Gellan			E418	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS	InChIKey=XEYBRNLFEZDVAW-COHNOYJASA-M	351.462    	prostaglandin E2	CCCCCC(O)C=CC1(C(CC=CCCCC(=O)[O-])C(=O)CC(O)1)
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			dinoprostone	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			(5Z,13E)-(15S)-11&alpha;15-dihydroxy-9-oxoprost-13-enoate	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			prostglandin E2	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			(5Z,13E)-(15S)-11,15-dihydroxy-9-oxoprosta-5,13-dienoate	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			PGE2	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			Prostglandin E2	
5Z13E-15S-1115-DIHYDROXY-9-OXOPROS			(5Z,13E)-(15S)-11&alpha;,15-dihydroxy-9-oxoprosta-5,13-dienoate	
