pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-7746	mycobacterial sulfolipid biosynthesis	TAX-1762
PWY-6840	homoglutathione biosynthesis	TAX-3803
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	TAX-2
PWY-5943	&beta;-carotene biosynthesis	TAX-4751
PWY-5943		TAX-2
PWY-5943		TAX-2763
PWY-5943		TAX-3041
PWY-5943		TAX-33090
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	TAX-2157
HOMOSER-THRESYN-PWY		TAX-4751
HOMOSER-THRESYN-PWY		TAX-2
HOMOSER-THRESYN-PWY		TAX-33090
PWY-6964	ammonia assimilation cycle II	TAX-1117
PWY-6964	GS/GOGAT pathway	TAX-2836
PWY-6964		TAX-33090
CALVIN-PWY	Calvin-Benson-Bassham cycle	TAX-1117
CALVIN-PWY	photosynthetic dark reactions	TAX-39119
CALVIN-PWY	photosynthetic CO2 fixation	TAX-38254
CALVIN-PWY	reductive pentose phosphate pathway	TAX-29197
CALVIN-PWY	Calvin cycle	TAX-38410
CALVIN-PWY	carbon fixation	TAX-5747
CALVIN-PWY	Calvin-Benson cycle	TAX-2864
CALVIN-PWY		TAX-877183
CALVIN-PWY		TAX-2836
CALVIN-PWY		TAX-3027
CALVIN-PWY		TAX-2830
CALVIN-PWY		TAX-2833
CALVIN-PWY		TAX-3041
CALVIN-PWY		TAX-33682
CALVIN-PWY		TAX-2763
CALVIN-PWY		TAX-2870
CALVIN-PWY		TAX-2825
CALVIN-PWY		TAX-2
CALVIN-PWY		TAX-33090
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	TAX-2759
ARGDEG-V-PWY		TAX-201174
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	TAX-2157
GLUCOSE1PMETAB-PWY		TAX-2759
GLUCOSE1PMETAB-PWY		TAX-2
PWY-6758	hydrogen production II	TAX-2
PWY-6758		TAX-2157
PWY-6395	superpathway of seleno-compound metabolism	TAX-2
PWY-6395	superpathway of seleno-compound detoxification	TAX-4751
PWY-6395	superpathway of selenium uptake and metabolism	TAX-33090
PWY-6395	superpathway of seleno-amino acid biosynthesis and detoxification	
PWY-7032	alkane biosynthesis I	TAX-1117
PWY-5487	4-nitrophenol degradation I	TAX-1224
PWY-5487	p-nitrophenol degradation I	
PWY-6731	starch degradation III	TAX-2157
ANAEROFRUCAT-PWY	homolactic fermentation	TAX-2157
ANAEROFRUCAT-PWY	anaerobic fructose catabolism	TAX-2759
ANAEROFRUCAT-PWY	anaerobic fructose degradation	TAX-2
ANAEROFRUCAT-PWY	fructose fermentation to lactate	
PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	TAX-33208
PWY-7049	eicosapentaenoic acid biosynthesis II	TAX-4751
PWY-7049	eicosapentaenoate biosynthesis II (metazoa)	
PWY-7049	iicosapentaenoic acid biosynthesis II	
PWY-7807	glyphosate degradation III	TAX-2
PWY-5451	acetone degradation I (to methylglyoxal)	TAX-40674
PWY-6762	salicylate glucosides biosynthesis IV	TAX-3193
PWY-6762	SA glucosides biosynthesis IV	
PWY-6762	salicylate 2-O-&beta;-D-glucoside biosynthesis	
PWY-6762	salicylic acid glucosides biosynthesis IV	
PWY-6762	SAG-&beta;-D-glucoside biosynthesis	
PWY-6762	salicylic acid 2-O-&beta;-D-glucoside biosynthesis	
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	TAX-191412
PWY-6676		TAX-72276
PWY-6676		TAX-1046
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis	TAX-4751
PWY3O-6	previously called D-erythroascorbate (erythroascorbate, erythroascorbic acid) biosynthesis	
PWY-6876	isopropanol biosynthesis (engineered)	TAX-2
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)	TAX-4751
PWY-6792	scopoletin biosynthesis	TAX-33090
PWY-6852	senecionine N-oxide biosynthesis	TAX-7088
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)	TAX-2
PWY-5195	artemisinin biosynthesis	TAX-4219
PWY-7663	gondoate biosynthesis (anaerobic)	TAX-2
PWY-7663	cis-11-icosenoate biosynthesis	
PWY-7663	(11Z)-icos-11-enoate biosynthesis	
PWY-7663	(11Z)-icosenoate biosynthesis	
PWY-7663	gondoic acid biosynthesis	
PWY-7663	11-eicosenoic acid biosynthesis	
PWY-6131	glycerol degradation II	TAX-4895
PWY-6131		TAX-2
COA-PWY	coenzyme A biosynthesis I	TAX-2759
COA-PWY	CoA biosynthesis	TAX-2157
COA-PWY		TAX-2
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	TAX-2
GLYOXDEG-PWY	glyoxylate degradation	
PWY-6591	manganese oxidation I	TAX-4751
PWY-6591		TAX-2
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)	TAX-33090
PHOSLIPSYN2-PWY	phosphoglyceride biosynthesis	
PWY-7130	L-glucose degradation	TAX-2
PWY-7440	dTDP-&beta;-L-4-epi-vancosamine biosynthesis	TAX-2037
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine	TAX-3699
PWY-5044	purine nucleotides degradation I (plants)	TAX-3193
PWY-5044	purine nucleotide catabolism (aerobic)	
PWY-7170	phytochromobilin biosynthesis	TAX-3041
PWY-7170		TAX-33090
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	TAX-2
PWY-6660	2-heptyl-3,4-dihydroxyquinoline biosynthesis	
PWY-6660	Pseudomonas quinolone signal biosynthesis	
PWY-6660	PQS biosynthesis	
PWY-7274	D-cycloserine biosynthesis	TAX-2062
PWY-6343	ferulate degradation	TAX-2
PWY-6343	ferulic acid degradation	
PWY-6343	vanillin biosynthesis II	
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle	TAX-28889
PWY-5789	3-HP/4-HB cycle	
PWY-5789	3-hydroxypropionate/4-hydroxybutyrate cycle	
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	TAX-2157
PWY-841	purine biosynthesis 2	TAX-2
PWY-841		TAX-2759
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	TAX-2
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	TAX-2
PWY-7371	modified futalosine pathway	
PWY-3621	&gamma;-butyrobetaine degradation	TAX-1224
PWY-6897	thiamine salvage II	TAX-2
PWY-6897	thiamin salvage II	
TOLUENE-DEG-CATECHOL-PWY	toluene degradation to benzoate	TAX-1224
TOLUENE-DEG-CATECHOL-PWY	toluene degradation via catechol	
NAD-BIOSYNTHESIS-III	NAD biosynthesis III	TAX-2
NAD-BIOSYNTHESIS-III	nicotinamide adenine dinucleotide biosynthesis	
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)	TAX-1224
PWY-5747	2-methylcitrate cycle II	TAX-2
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	TAX-2157
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)	TAX-2
PWY-6595	superpathway of guanosine nucleotides degradation (plants)	TAX-3193
PWY-0	putrescine degradation III	TAX-40674
P165-PWY	superpathway of purines degradation in plants	TAX-33090
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	TAX-33090
PWY-882	vitamin C biosynthesis	
PWY-882	ascorbic acid biosynthesis	
PWY-882	L-ascorbic acid biosynthesis I	
PWY-882	Smirnoff-Wheeler pathway	
PWY-5669	phosphatidylethanolamine biosynthesis I	TAX-33090
PWY-5669		TAX-4751
PWY-5669		TAX-2
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	TAX-2
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)	TAX-2759
PWY-7625	L-1-phosphatidyl-inositol biosynthesis II (eukaryotes)	
PWY-1881	formate oxidation to CO2	TAX-2157
PWY-1881		TAX-4751
PWY-1881		TAX-2
PWY-5973	cis-vaccenate biosynthesis	TAX-2
PWY-5973	cis vaccenic acid acid biosynthesis	TAX-3398
PWY-5942	trans-lycopene biosynthesis I (bacteria)	TAX-4751
PWY-5942		TAX-2157
PWY-5942		TAX-2
PWY-4081	glutathione-peroxide redox reactions	TAX-2
PWY-4081		TAX-2759
PWY-2881	cytokinins 7-N-glucoside biosynthesis	TAX-3193
PWY-2881	cytokinins conjugates biosynthesis	
PWY-7724	icosapentaenoate biosynthesis III (8-desaturase, mammals)	TAX-33208
PWY-7724	eicosapentaenoic acid biosynthesis III	TAX-4751
PWY-7724	eicosapentaenoate biosynthesis III (metazoa)	
PWY-7724	iicosapentaenoic acid biosynthesis III	
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	TAX-1224
GOLPDLCAT-PWY		TAX-1239
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis	TAX-2759
PWY-5806		TAX-2
PWY-5692	allantoin degradation to glyoxylate II	TAX-33090
PWY-6672	cis-genanyl-CoA degradation	TAX-2
PWY-6672	acyclic terpene utilization pathway	
PWY-5484	glycolysis II (from fructose 6-phosphate)	TAX-2759
PWY-5484		TAX-2
PWY-5484		TAX-2157
DETOX1-PWY-1	reactive oxygen species degradation	TAX-2
DETOX1-PWY-1	removal of superoxide radicals	TAX-2157
DETOX1-PWY-1		TAX-2759
PWY-7402	benzoate fermentation (to acetate and cyclohexane carboxylate)	TAX-2
PWY-7003	glycerol degradation to butanol	TAX-2
PWY-6571	dermatan sulfate biosynthesis	TAX-33208
PWY-7592	arachidonate biosynthesis III (6-desaturase, mammals)	TAX-33208
PWY-7592	arachidonic acid biosynthesis III (metazoa)	
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)	TAX-33090
PWY-4	UDP-D-galacturonate biosynthesis (salvage pathway)	TAX-2
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	TAX-40674
PWY-5534	propene degradation	TAX-2
PWY-5534	propylene degradation	
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	TAX-40674
PWY-6861	the visual cycle I (vertebrates)	TAX-33208
PWY-5140	cannabinoid biosynthesis	TAX-3481
PWY-6981	chitin biosynthesis	TAX-6447
PWY-6981		TAX-6231
PWY-6981		TAX-6073
PWY-6981		TAX-6040
PWY-6981		TAX-5758
PWY-6981		TAX-6656
PWY-6981		TAX-4751
PWY-1781	&beta;-alanine degradation II	TAX-1224
PWY66-375	leukotriene biosynthesis	TAX-7742
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)	TAX-2
PWY0-1338	polymyxin resistance	TAX-1224
PWY0-1338	L-Ara4N-modified lipid A biosynthesis	
PWY0-1338	4-amino-4-deoxy-L-arabinose-modified lipid A biosynthesis	
PWY-6606	guanosine nucleotides degradation II	TAX-4751
PWY-6606		TAX-3193
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase	TAX-2
ALKANEMONOX-PWY	alkanesulfonate monooxygenase two-component system	
ALKANEMONOX-PWY	alkanesulfonate monooxygenase	
PWY-6587	pyruvate fermentation to ethanol III	TAX-2
PWY-6802	salidroside biosynthesis	TAX-33090
PWY-7701	4-hydroxy-4-methyl-L-glutamate biosynthesis	TAX-33090
PWY-7701	4-hydroxy-4-methylglutamate biosynthesis	TAX-4751
COA-PWY-1	coenzyme A biosynthesis II (mammalian)	TAX-40674
COA-PWY-1	CoA biosynthesis	
GLUTAMINDEG-PWY	L-glutamine degradation I	TAX-2759
GLUTAMINDEG-PWY		TAX-2
PWY-7158	L-phenylalanine degradation V	TAX-33090
PWY66-395	aspirin triggered resolvin D biosynthesis	TAX-40674
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	TAX-4751
ANAPHENOXI-PWY	anaerobic L-phenylalanine oxidation	TAX-1224
PWY-7783	plasmalogen degradation	TAX-33208
HOMOSERSYN-PWY	L-homoserine biosynthesis	TAX-33090
HOMOSERSYN-PWY		TAX-4751
HOMOSERSYN-PWY		TAX-2
PWY-7591	okenone biosynthesis	TAX-1046
PWY-6402	superpathway of melatonin degradation	TAX-7742
PWY0-1581	nitrate reduction IX (dissimilatory)	TAX-2
PWY0-1581	glycerol-3-phosphate to nitrate electron transfer	TAX-2157
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis	TAX-2
PWY-6661	DHQ biosynthesis	
PWY-6661	4-hydroxy-2-quinolone biosynthesis	
CYSTEINE-DEG-PWY	L-cysteine degradation I	TAX-40674
CYSTEINE-DEG-PWY	cysteine degradation I	
PWY-5883	ephedrine biosynthesis	TAX-3387
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	TAX-2
PWY3O-246	(R,R)-butanediol degradation	TAX-4751
PWY3O-246	(R,R)-butylene-glycol degradation	TAX-2
PWY-7793	dimethyl sulfide biosynthesis from methionine	TAX-2
PWY-7793	methanethiol methylation	
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation	TAX-2759
PWY-735	jasmonic acid biosynthesis	TAX-33090
PWY-735	jasmonate biosynthesis	
PWY-6559	spermidine biosynthesis II	TAX-2
PWY-6406	salicylate biosynthesis I	TAX-3193
PWY-6406	salicylic acid biosynthesis	TAX-2
PWY-4921	protein citrullination	TAX-68336
PWY-4921		TAX-33208
PWY-5499	vitamin B6 degradation	TAX-1224
PWY-5499	pyridoxine degradation	
PWY-5499	pyridoxamine degradation	
PWY-5499	pyridoxal degradation	
PWY-5005	biotin biosynthesis II	TAX-2
PWY-5005	vitamin H biosynthesis	
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	TAX-4751
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate	TAX-33090
PWY0-1507		TAX-2
PWY-6423	hemoglobin degradation	TAX-5820
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	TAX-2
COMPLETE-ARO-PWY	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis	
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis	TAX-3193
PWY-1782	superpathway of IAA conjugation	
PWY-1782	superpathway of indole-3-acetic acid conjugate biosynthesis	
PWY-1782	superpathway of IAA conjugate biosynthesis	
PWY-6167	flavin biosynthesis II (archaea)	TAX-2157
PWY-6330	acetaldehyde biosynthesis II	TAX-33090
PWY-6330	PDH-bypass	
PWY-6330	ligt-dark transition acetaldehyde biosynthesis	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	TAX-2
PWY-3101	flavonol biosynthesis	TAX-58024
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	TAX-2759
OXIDATIVEPENT-PWY		TAX-2
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	TAX-2
FAO-PWY	fatty acid &beta;-oxidation I	TAX-33084
FAO-PWY		TAX-33208
FAO-PWY		TAX-2
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis	TAX-2
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononic acid biosynthesis	TAX-2759
PWY-6140	CMP-3-deoxy-D-glycero-D-galacto-nonulosonic acid biosynthesis	
PWY-6140	CMP-3-deoxy-D-glycero-D-galacto-nonulosonate biosynthesis	
PWY-6140	CMP-KDN biosynthesis	
PWY-5115	GDP-L-galactose biosynthesis	TAX-3193
LARABITOLUTIL-PWY	xylitol degradation	TAX-7742
LARABITOLUTIL-PWY	L-arabitol and xylitol utilization	TAX-4751
LARABITOLUTIL-PWY	L-arabitol and xylitol degradation	TAX-1224
TCA	TCA cycle I (prokaryotic)	TAX-2
TCA	tricarboxylic acid cycle	TAX-2157
TCA	citric acid cycle	
TCA	Krebs cycle	
TCA	Szent-Gyorgyi-Krebs cycle	
PWY0-1182	trehalose degradation II (trehalase)	TAX-6656
PWY0-1182		TAX-4751
PWY0-1182		TAX-2
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	TAX-1224
PWY-5431	&beta;-ketoadipate pathway	
PWY-6374	vibriobactin biosynthesis	TAX-666
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway	TAX-33090
PWY-5407	9-LOX and 9-AOS pathway	
PWY-1723	formaldehyde oxidation V (H4MPT pathway)	TAX-2
PWY-6642	(R)-cysteate degradation	TAX-2
PWY0-1335	NADH to cytochrome bo oxidase electron transfer I	TAX-2
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis	TAX-543
PWY-5898	superpathway of menaquinol-12 biosynthesis	TAX-33877
PWY-5898	vitamin K2 biosynthesis	TAX-33882
PWY-5898	superpathway of menaquinone-12 biosynthesis	TAX-838
PWY-5741	ethylmalonyl-CoA pathway	TAX-2
PWY-5741	ethylmalonyl pathway	
PWY-5864	superpathway of plastoquinol biosynthesis	TAX-1117
PWY-5864	superpathway of plastoquinone biosynthesis	TAX-2870
PWY-5864		TAX-2763
PWY-5864		TAX-33090
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)	TAX-2
PWY-6692	Fe(II) oxidation	TAX-2
PWY-6692	iron oxidation	
PROSYN-PWY	L-proline biosynthesis I	TAX-4751
PROSYN-PWY		TAX-33154
PROSYN-PWY		TAX-2
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	TAX-33090
PWY-6129	dolichol and dolichyl phosphate biosynthesis	TAX-2759
PWY-7686	L-malate degradation II	TAX-33154
PWY-7686	(S)--malate degradation II	TAX-2
PWY-7754	bile acids degradation	TAX-2
PWY-7754	secondary bile acid biosynthesis	
PWY-7527	L-methionine salvage cycle III	TAX-2157
PWY-7527	5'-methylthioadenosine cycle	TAX-2
PWY-7527	MTA cycle	TAX-33208
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	TAX-2759
GLYCOLYSIS-E-D		TAX-2
PWY-1622	formaldehyde assimilation I (serine pathway)	TAX-2
PWY-5928	(4R)-carvone biosynthesis	TAX-4136
PWY-6196	D-serine metabolism	TAX-131567
PWY-6196	serine racemization	
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	TAX-2
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis	TAX-33090
PWY-5837		TAX-2
PWY-6199	quercetin sulfate biosynthesis	TAX-33090
PWY-6199	quercetin sulphate biosynthesis	
PWY-5951	(R,R)-butanediol biosynthesis	TAX-4751
PWY-5951	(R,R)-butylene glycol fermentation	TAX-2
PWY-5951	(R,R)-butanediol fermentation	
PWY-5675	nitrate reduction V (assimilatory)	TAX-2
PWY-5675	nitrate assimilation	TAX-4751
PWY-801	L-homocysteine and L-cysteine interconversion	TAX-33090
PWY-801	transsulfuration pathway	TAX-4751
PWY-7751	shinorine biosynthesis	TAX-2
PWY-4161	superpathway of benzoxazinoid glucosides biosynthesis	TAX-3398
PWY-4161	benzoxazinoids biosynthesis	
PWY-4161	DIBOA / DIMBOA biosynthesis	
CO2FORM-PWY	methanogenesis from methanol	TAX-28890
PWY-7399	methylphosphonate degradation II	TAX-2
PWY-7733	3-hydroxyquinaldate biosynthesis	TAX-2
PWY-7733	3-hydroxyquinaldic acid biosynthesis	
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate	TAX-2
PWY-6765	hydrogen production IV	TAX-2157
PWY-5364	sulfur reduction II (via polysulfide)	TAX-2
PWY-5364	polysulfide respiration	TAX-2157
PWY-5364	polysulphide respiration	
PWY-7291	oleate &beta;-oxidation (isomerase-dependent, yeast)	TAX-4751
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)	TAX-4751
PWY-5704	urea degradation II	TAX-2
PWY-5704		TAX-33090
PWY-5704		TAX-4751
PWY3O-355	stearate biosynthesis III (fungi)	TAX-4751
PWY3O-355	fatty acid biosynthesis	
PWY3O-355	stearic acid biosynthesis	
PWY3O-355	octadecanoate biosynthesis	
PWY3O-355	saturated fatty acid biosynthesis	
P621-PWY	nylon-6 oligomer degradation	TAX-2
P621-PWY	caprolactam degradation	
PWY-4762	superpathway of choline biosynthesis	TAX-33090
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	TAX-33090
ALACAT2-PWY		TAX-1239
PWY-6824	justicidin B biosynthesis	TAX-33090
PWY-5505	L-glutamate and L-glutamine biosynthesis	TAX-2759
PWY-5505		TAX-2
PWY-5505		TAX-2157
PWY-6398	melatonin degradation I	TAX-7742
FERMENTATION-PWY	mixed acid fermentation	TAX-4751
FERMENTATION-PWY	fermentation	TAX-2
MGLDLCTANA-PWY	methylglyoxal degradation VI	TAX-40674
PWY-6002	lotaustralin degradation	TAX-3465
PWY-6002		TAX-4004
PWY-6002		TAX-3803
PWY-6002		TAX-3977
PWY-6002		TAX-4210
PWY-922	mevalonate pathway I	TAX-2157
PWY-922	isoprenoid pathway	TAX-33208
PWY-922	MVA pathway	TAX-4751
PWY-922	isopentenyl diphosphate biosynthesis	TAX-2
PWY-922	dimethylallyl diphosphate biosynthesis	TAX-33090
PWY-5483	pyruvate fermentation to acetate III	TAX-554915
PWY-5483		TAX-2157
PWY-6538	caffeine degradation III (bacteria, via demethylation)	TAX-2
PWY-6538	caffeine degradation (bacteria)	
PWY-6558	heparan sulfate biosynthesis (late stages)	TAX-33208
PWY-7294	xylose degradation IV	TAX-2157
PWY-7016	neomycin biosynthesis	TAX-2
PWY-6539	(Z)-phenylmethanethial S-oxide biosynthesis	TAX-3524
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	TAX-4751
PHENYLALANINE-DEG1-PWY		TAX-40674
PHENYLALANINE-DEG1-PWY		TAX-2
PWY-6032	cardenolide biosynthesis	TAX-4163
PWY-7760	bacteriochlorophyll e biosynthesis	TAX-191412
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)	TAX-2
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	TAX-2
PYRIDOXSYN-PWY	vitamin B6 biosynthesis	
PWY-7456	&beta;-(1,4)-mannan degradation	TAX-2
PWY-7456	plant mannan degradation	
PWY-6447	trichome monoterpenes biosynthesis	TAX-4070
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	TAX-1224
PWY-5026	IAA biosynthesis V (bacteria and fungi)	TAX-4751
PWY-6458	benzoyl-CoA biosynthesis	TAX-3193
PWY-6458	benzoyl-coenzyme A biosynthesis	TAX-2
PWY-7736	stellatic acid biosynthesis	TAX-4751
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)	TAX-4751
PWY-5877	beta-carboline biosynthesis	TAX-2759
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	TAX-2
PWY0-845	vitamin B6 biosynthesis and salvage	
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	TAX-2759
PWY-5754	p-hydroxybenzoate biosynthesis I (eukaryotes)	
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	TAX-2759
PYRIDNUCSYN-PWY	nicotinamide adenine dinucleotide biosynthesis	TAX-2
PWY-6978	plastoquinol-9 biosynthesis II	TAX-1117
PWY-6978	plastoquinone biosynthesis II	
PWY-6978	plastoquinone-9 biosynthesis II	
PWY-6978	plastoquinol biosynthesis II	
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	TAX-3193
PWY-6444	benzoate biosynthesis (non-oxidative)	
PWY-6444	benzoic acid biosynthesis	
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	TAX-2759
GLUT-REDOX-PWY		TAX-2
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)	TAX-2
PWY-7216	(R)- and (S)-3-hydroxybutyrate biosynthesis	
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	TAX-1117
PWY-6969	citric acid cycle	TAX-3035
PWY-6969	tricarboxylic acid cycle	TAX-1224
PWY-6969	Szent-Gyorgyi-Krebs cycle	TAX-201174
PWY-6969	Krebs cycle	
PWY-5850	superpathway of menaquinol-6 biosynthesis I	TAX-2
PWY-5850	superpathway of menaquinone-6 biosynthesis I	
AMMASSIM-PWY	ammonia assimilation cycle III	TAX-4751
AMMASSIM-PWY	ammonia assimilation III	TAX-2
AMMASSIM-PWY	GS/GOGAT pathway	
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	TAX-2759
PWY-7200		TAX-2
PWY-7200		TAX-2157
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	TAX-28890
PWY-6308	L-cysteinyl-tRNAcys biosynthesis via tRNA modification	
PWY-6435	4-hydroxybenzoate biosynthesis V	TAX-33090
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	TAX-201174
PWY-6386		TAX-1239
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	TAX-2
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation	TAX-1224
GALLATE-DEGRADATION-I-PWY	gallate degradation II	TAX-2
PWY-581	indole-3-acetate biosynthesis II	TAX-33090
PWY-581	auxin biosynthesis	
PWY-581	indole-3-acetic acid biosynthesis	
PWY-581	IAA de novo synthesis	
PWY-581	IAA biosynthesis II	
PWY-5770	phenazine-1-carboxylate biosynthesis	TAX-2207
PWY-5770		TAX-1236
PWY-5770		TAX-28216
PWY-5770		TAX-201174
PWY-3161	indole-3-acetate biosynthesis III (bacteria)	TAX-1224
PWY-3161	IAA biosynthesis III (bacteria)	
PWY-6027	capsiconiate biosynthesis	TAX-4071
PWY-5176	coumarin biosynthesis (via 2-coumarate)	TAX-3398
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	TAX-2759
GLYCOLYSIS	Embden-Meyerhof pathway	TAX-2
GLYCOLYSIS	Embden-Meyerhof-Parnas pathway	TAX-2157
GLYCOLYSIS	EMP pathway	
GLYCOLYSIS	glycolysis (plastidic)	
GALACTUROCAT-PWY	D-galacturonate degradation I	TAX-2
GALACTUROCAT-PWY	D-galacturonate catabolism	
GALACTUROCAT-PWY	D-galacturonate degradation	
PWY-5417	catechol degradation III (ortho-cleavage pathway)	TAX-4751
PWY-5417	&beta;-ketoadipate pathway	TAX-1224
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation	TAX-2
PWY66-341	cholesterol biosynthesis I	TAX-33208
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)	TAX-2
PWY-6181	histamine degradation	TAX-33208
PWY-1061	homogalacturonan biosynthesis	TAX-3193
PWY-1061	pectin biosynthesis	
PWY-7242	D-fructuronate degradation	TAX-2
PWY-6963	ammonia assimilation cycle I	TAX-2836
PWY-6963	GS/GOGAT pathway	TAX-4751
PWY-6963		TAX-33090
PWY-5538	pyruvate fermentation to acetate VI	TAX-4751
PWY-5538	acetate fermentation	TAX-5719
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis	TAX-2
PWY-5120	geranylgeranyl diphosphate biosynthesis	TAX-2759
PWY-5120	GGPP biosynthesis	TAX-2
PWY-5120		TAX-2157
PWY-6829	tRNA methylation (yeast)	TAX-2759
PWY-7124	ethylene biosynthesis V (engineered)	TAX-4930
PWY-7124		TAX-2
PWY0-1319	CDP-diacylglycerol biosynthesis II	TAX-33090
PWY0-1319		TAX-1224
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from myo-inositol)	TAX-3193
PWY-4841	UDP-D-GlcA biosynthesis	
PWY-4841	UDP-D-glucuronic acid biosynthesis	
PWY-4841	inositol oxidation pathway	
PWY-7237	myo-, chiro- and scillo-inositol degradation	TAX-2
PWY-7141	(3S)-linalool biosynthesis	TAX-2759
PWY-7141	(S)-linalool biosynthesis	
PWY-7141	S-(+)-linalool biosynthesis	
PWY66-425	L-lysine degradation II (L-pipecolate pathway)	TAX-40674
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	TAX-33090
ARGSYNBSUB-PWY		TAX-4751
