gene	organism	chromosome	start	end
At1g79690	Arabidopsis thaliana	Chr1	29985175	29990388	
At2g45880	Arabidopsis thaliana	Chr2	18878517	18882578	
At3g56230	Arabidopsis thaliana	Chr3	20860777	20862265	
At1g54440	Arabidopsis thaliana	Chr1	20323035	20328009	
At2g22910	Arabidopsis thaliana	Chr2	9749868	9752863	
At1g12840	Arabidopsis thaliana	Chr1	4375514	4378514	
At4g17040	Arabidopsis thaliana	Chr4	9585704	9589362	
At1g12845	Arabidopsis thaliana	Chr1	4378938	4379516	
At2g01210	Arabidopsis thaliana	Chr2	119440	121846	
At3g55850	Arabidopsis thaliana	Chr3	20721719	20725893	
At2g17530	Arabidopsis thaliana	Chr2	7626358	7629149	
At3g12250	Arabidopsis thaliana	Chr3	3906350	3908583	
At4g12670	Arabidopsis thaliana	Chr4	7472078	7474519	
At1g17360	Arabidopsis thaliana	Chr1	5946763	5951473	
At2g23690	Arabidopsis thaliana	Chr2	10072232	10073126	
At1g43145	Arabidopsis thaliana	Chr1	16238524	16240015	
At4g27960	Arabidopsis thaliana	Chr4	13915819	13917420	
At3g52490	Arabidopsis thaliana	Chr3	19455698	19458919	
At1g28410	Arabidopsis thaliana	Chr1	9976181	9979267	
At5g02910	Arabidopsis thaliana	Chr5	677086	679043	
At3g17570	Arabidopsis thaliana	Chr3	6009406	6010562	
At3g61930	Arabidopsis thaliana	Chr3	22935509	22936181	
At2g15970	Arabidopsis thaliana	Chr2	6950040	6951192	
At4g14630	Arabidopsis thaliana	Chr4	8392840	8393813	
At1g80560	Arabidopsis thaliana	Chr1	30287762	30290298	
At2g27980	Arabidopsis thaliana	Chr2	11913628	11919741	
At5g46930	Arabidopsis thaliana	Chr5	19056654	19057191	
At4g26490	Arabidopsis thaliana	Chr4	13380408	13381440	
At2g42720	Arabidopsis thaliana	Chr2	17785408	17787421	
At5g42223	Arabidopsis thaliana	Chr5	16878609	16878945	
At5g42220	Arabidopsis thaliana	Chr5	16872341	16877666	
At1g51660	Arabidopsis thaliana	Chr1	19154322	19155947	
At2g16016	Arabidopsis thaliana	Chr2	6971139	6971268	
At5g40570	Arabidopsis thaliana	Chr5	16246785	16248390	
At5g39493	Arabidopsis thaliana	Chr5	15810268	15810667	
At4g25440	Arabidopsis thaliana	Chr4	13006726	13009608	
At1g50390	Arabidopsis thaliana	Chr1	18666985	18667677	
At1g23030	Arabidopsis thaliana	Chr1	8156645	8159077	
At5g63220	Arabidopsis thaliana	Chr5	25353033	25355500	
At1g23037	Arabidopsis thaliana	Chr1	8162413	8163149	
At3g48330	Arabidopsis thaliana	Chr3	17892794	17893975	
At3g28600	Arabidopsis thaliana	Chr3	10722436	10723995	
At5g59870	Arabidopsis thaliana	Chr5	24115380	24116220	
At2g26160	Arabidopsis thaliana	Chr2	11137977	11139451	
At2g15390	Arabidopsis thaliana	Chr2	6709259	6711156	
At3g22460	Arabidopsis thaliana	Chr3	7963536	7965907	
At2g43530	Arabidopsis thaliana	Chr2	18070055	18070718	
At5g48360	Arabidopsis thaliana	Chr5	19595656	19598492	
At5g28190	Arabidopsis thaliana	Chr5	10167849	10170696	
At4g14096	Arabidopsis thaliana	Chr4	8124414	8126514	
At4g14090	Arabidopsis thaliana	Chr4	8122187	8123835	
At1g53285	Arabidopsis thaliana	Chr1	19869559	19870095	
At1g53282	Arabidopsis thaliana	Chr1	19867929	19868335	
At3g55140	Arabidopsis thaliana	Chr3	20438771	20440429	
At1g53280	Arabidopsis thaliana	Chr1	19864769	19867389	
At2g24980	Arabidopsis thaliana	Chr2	10622452	10624132	
At3g12920	Arabidopsis thaliana	Chr3	4121882	4123508	
At4g15940	Arabidopsis thaliana	Chr4	9038288	9040370	
At2g14378	Arabidopsis thaliana	Chr2	6104868	6105231	
At2g21750	Arabidopsis thaliana	Chr2	9283366	9283744	
At5g65720	Arabidopsis thaliana	Chr5	26296252	26298072	
At2g15029	Arabidopsis thaliana	Chr2	6504069	6504171	
At1g50530	Arabidopsis thaliana	Chr1	18721211	18721729	
At2g15025	Arabidopsis thaliana	Chr2	6501125	6501704	
At2g23660	Arabidopsis thaliana	Chr2	10060241	10061822	
At2g26290	Arabidopsis thaliana	Chr2	11192136	11194259	
At2g15020	Arabidopsis thaliana	Chr2	6491433	6493352	
At2g16280	Arabidopsis thaliana	Chr2	7050943	7052897	
At1g07985	Arabidopsis thaliana	Chr1	2475404	2476155	
At1g07980	Arabidopsis thaliana	Chr1	2473164	2474927	
At3g58720	Arabidopsis thaliana	Chr3	21716865	21717948	
At3g50530	Arabidopsis thaliana	Chr3	18753540	18756773	
At4g24310	Arabidopsis thaliana	Chr4	12600892	12601675	
At1g57620	Arabidopsis thaliana	Chr1	21342720	21344804	
At3g03890	Arabidopsis thaliana	Chr3	999466	1002484	
At3g25600	Arabidopsis thaliana	Chr3	9307253	9307967	
At5g62180	Arabidopsis thaliana	Chr5	24978843	24979849	
At1g13540	Arabidopsis thaliana	Chr1	4635462	4636805	
At2g05440	Arabidopsis thaliana	Chr2	1993081	1994166	
At2g34910	Arabidopsis thaliana	Chr2	14726799	14728128	
At3g58090	Arabidopsis thaliana	Chr3	21512318	21514281	
At5g47040	Arabidopsis thaliana	Chr5	19093151	19098715	
At1g50830	Arabidopsis thaliana	Chr1	18835270	18837942	
At3g23730	Arabidopsis thaliana	Chr3	8550109	8551335	
At1g74120	Arabidopsis thaliana	Chr1	27871273	27873260	
At1g20070	Arabidopsis thaliana	Chr1	6958009	6959123	
At5g22290	Arabidopsis thaliana	Chr5	7375922	7377644	
At2g17880	Arabidopsis thaliana	Chr2	7766961	7767931	
At5g38340	Arabidopsis thaliana	Chr5	15320506	15324061	
At5g38344	Arabidopsis thaliana	Chr5	15325830	15326988	
At1g79330	Arabidopsis thaliana	Chr1	29838652	29840137	
At2g20400	Arabidopsis thaliana	Chr2	8799186	8801973	
At5g37370	Arabidopsis thaliana	Chr5	14812684	14816520	
At1g15180	Arabidopsis thaliana	Chr1	5224384	5226702	
At3g57160	Arabidopsis thaliana	Chr3	21157609	21158816	
At2g32450	Arabidopsis thaliana	Chr2	13778448	13781258	
At3g50390	Arabidopsis thaliana	Chr3	18702073	18703619	
At3g45860	Arabidopsis thaliana	Chr3	16863400	16866041	
At4g22250	Arabidopsis thaliana	Chr4	11767512	11768452	
At1g52660	Arabidopsis thaliana	Chr1	19613474	19614796	
At3g53840	Arabidopsis thaliana	Chr3	19945570	19947719	
At3g01630	Arabidopsis thaliana	Chr3	237238	239113	
At3g05990	Arabidopsis thaliana	Chr3	1796851	1799870	
At5g22430	Arabidopsis thaliana	Chr5	7433789	7434935	
At5g26950	Arabidopsis thaliana	Chr5	9483250	9484120	
At5g66400	Arabidopsis thaliana	Chr5	26518296	26519242	
At4g27150	Arabidopsis thaliana	Chr4	13609340	13610075	
At3g14490	Arabidopsis thaliana	Chr3	4863630	4865949	
At1g08980	Arabidopsis thaliana	Chr1	2884410	2886620	
At1g08985	Arabidopsis thaliana	Chr1	2887284	2887706	
At3g13640	Arabidopsis thaliana	Chr3	4458460	4461733	
At4g09830	Arabidopsis thaliana	Chr4	6188766	6190853	
At5g24550	Arabidopsis thaliana	Chr5	8392058	8395302	
At1g04510	Arabidopsis thaliana	Chr1	1226574	1230827	
At5g57560	Arabidopsis thaliana	Chr5	23307129	23308282	
At5g57567	Arabidopsis thaliana	Chr5	23312044	23312399	
At1g55570	Arabidopsis thaliana	Chr1	20757766	20760076	
At2g24470	Arabidopsis thaliana	Chr2	10395827	10396622	
At3g18690	Arabidopsis thaliana	Chr3	6429533	6430514	
At2g38110	Arabidopsis thaliana	Chr2	15952606	15955494	
At2g30340	Arabidopsis thaliana	Chr2	12931218	12932582	
At3g14140	Arabidopsis thaliana	Chr3	4688545	4690404	
At4g29000	Arabidopsis thaliana	Chr4	14293512	14297066	
At1g48020	Arabidopsis thaliana	Chr1	17716050	17716808	
At2g31432	Arabidopsis thaliana	Chr2	13397596	13398839	
At1g49770	Arabidopsis thaliana	Chr1	18424577	18426782	
At2g31430	Arabidopsis thaliana	Chr2	13396191	13397162	
At2g36420	Arabidopsis thaliana	Chr2	15286497	15288990	
At2g34920	Arabidopsis thaliana	Chr2	14728026	14731156	
At5g52300	Arabidopsis thaliana	Chr5	21237055	21239529	
At1g09160	Arabidopsis thaliana	Chr1	2952770	2955689	
At3g06360	Arabidopsis thaliana	Chr3	1928901	1929446	
At4g22920	Arabidopsis thaliana	Chr4	12016524	12018492	
At2g33490	Arabidopsis thaliana	Chr2	14183551	14187869	
At5g27600	Arabidopsis thaliana	Chr5	9742575	9747005	
At2g26930	Arabidopsis thaliana	Chr2	11491706	11494266	
At2g29740	Arabidopsis thaliana	Chr2	12706709	12708367	
At5g27606	Arabidopsis thaliana	Chr5	9752001	9753404	
At1g48790	Arabidopsis thaliana	Chr1	18043671	18047659	
At5g17262	Arabidopsis thaliana	Chr5	5678376	5678508	
At5g63630	Arabidopsis thaliana	Chr5	25472597	25476511	
At3g52820	Arabidopsis thaliana	Chr3	19573943	19576977	
At4g26200	Arabidopsis thaliana	Chr4	13275306	13277188	
At1g59833	Arabidopsis thaliana	Chr1	22023336	22023714	
At1g55390	Arabidopsis thaliana	Chr1	20680875	20683043	
At1g59830	Arabidopsis thaliana	Chr1	22020518	22022484	
At1g59835	Arabidopsis thaliana	Chr1	22025040	22025421	
At1g03890	Arabidopsis thaliana	Chr1	989197	991020	
At1g09290	Arabidopsis thaliana	Chr1	3001516	3003762	
At5g25600	Arabidopsis thaliana	Chr5	8912958	8914055	
At1g54620	Arabidopsis thaliana	Chr1	20400436	20401025	
At5g56210	Arabidopsis thaliana	Chr5	22750554	22752732	
At5g61670	Arabidopsis thaliana	Chr5	24783503	24785349	
At2g39640	Arabidopsis thaliana	Chr2	16525085	16527012	
At5g20070	Arabidopsis thaliana	Chr5	6779853	6782482	
At5g64110	Arabidopsis thaliana	Chr5	25654073	25656030	
At5g48540	Arabidopsis thaliana	Chr5	19668963	19669920	
At5g48543	Arabidopsis thaliana	Chr5	19674391	19675292	
At5g48545	Arabidopsis thaliana	Chr5	19676116	19678109	
At3g19270	Arabidopsis thaliana	Chr3	6673726	6676520	
At5g44640	Arabidopsis thaliana	Chr5	18011145	18012882	
At3g19274	Arabidopsis thaliana	Chr3	6678718	6678871	
At1g76890	Arabidopsis thaliana	Chr1	28873058	28875292	
At2g37770	Arabidopsis thaliana	Chr2	15834866	15836881	
At2g42120	Arabidopsis thaliana	Chr2	17563156	17566032	
At3g03460	Arabidopsis thaliana	Chr3	822936	824546	
At1g74940	Arabidopsis thaliana	Chr1	28146058	28147378	
At5g51650	Arabidopsis thaliana	Chr5	20978202	20979249	
At1g06110	Arabidopsis thaliana	Chr1	1853076	1855031	
At3g59250	Arabidopsis thaliana	Chr3	21901569	21903284	
At4g29910	Arabidopsis thaliana	Chr4	14627962	14630740	
At1g71320	Arabidopsis thaliana	Chr1	26882484	26883818	
At2g34140	Arabidopsis thaliana	Chr2	14413757	14414765	
At2g39390	Arabidopsis thaliana	Chr2	16450659	16451878	
At2g41090	Arabidopsis thaliana	Chr2	17135720	17136852	
At3g43710	Arabidopsis thaliana	Chr3	15605607	15606744	
At5g48090	Arabidopsis thaliana	Chr5	19484164	19488657	
At2g19070	Arabidopsis thaliana	Chr2	8260037	8261985	
At1g09830	Arabidopsis thaliana	Chr1	3192680	3195025	
At2g37480	Arabidopsis thaliana	Chr2	15737841	15739848	
At5g55893	Arabidopsis thaliana	Chr5	22624737	22625892	
At3g45000	Arabidopsis thaliana	Chr3	16460347	16461407	
At5g61090	Arabidopsis thaliana	Chr5	24574901	24577714	
At1g34390	Arabidopsis thaliana	Chr1	12556004	12559082	
At2g35430	Arabidopsis thaliana	Chr2	14900871	14902385	
At5g59790	Arabidopsis thaliana	Chr5	24090714	24093168	
At3g57950	Arabidopsis thaliana	Chr3	21460422	21460968	
At2g44570	Arabidopsis thaliana	Chr2	18394241	18396268	
At3g57958	Arabidopsis thaliana	Chr3	21462680	21462881	
At2g44578	Arabidopsis thaliana	Chr2	18400645	18401326	
At2g40050	Arabidopsis thaliana	Chr2	16723880	16725774	
At2g47000	Arabidopsis thaliana	Chr2	19309867	19315241	
At4g30740	Arabidopsis thaliana	Chr4	14979245	14979521	
At3g08730	Arabidopsis thaliana	Chr3	2651446	2654212	
At3g03280	Arabidopsis thaliana	Chr3	765458	766387	
At3g60510	Arabidopsis thaliana	Chr3	22356963	22360118	
At5g45110	Arabidopsis thaliana	Chr5	18228909	18231522	
At5g45113	Arabidopsis thaliana	Chr5	18232276	18233521	
At3g07900	Arabidopsis thaliana	Chr3	2520773	2523108	
At4g31290	Arabidopsis thaliana	Chr4	15185885	15188484	
At5g20920	Arabidopsis thaliana	Chr5	7094717	7097116	
At1g24210	Arabidopsis thaliana	Chr1	8573548	8575156	
At5g12340	Arabidopsis thaliana	Chr5	3992947	3993610	
At1g68010	Arabidopsis thaliana	Chr1	25493195	25495783	
At5g02330	Arabidopsis thaliana	Chr5	487271	489242	
At5g21030	Arabidopsis thaliana	Chr5	7139891	7144272	
At1g30250	Arabidopsis thaliana	Chr1	10646986	10647511	
At1g71810	Arabidopsis thaliana	Chr1	27002413	27008176	
At2g36160	Arabidopsis thaliana	Chr2	15169817	15171353	
At1g43850	Arabidopsis thaliana	Chr1	16617151	16622049	
At5g50210	Arabidopsis thaliana	Chr5	20442646	20445991	
At2g22122	Arabidopsis thaliana	Chr2	9403263	9403808	
At1g75310	Arabidopsis thaliana	Chr1	28261003	28266124	
At1g07790	Arabidopsis thaliana	Chr1	2412979	2413708	
At5g53490	Arabidopsis thaliana	Chr5	21723306	21724642	
At1g07795	Arabidopsis thaliana	Chr1	2414285	2414967	
At5g57970	Arabidopsis thaliana	Chr5	23466717	23469015	
At5g07540	Arabidopsis thaliana	Chr5	2386065	2387249	
At1g73410	Arabidopsis thaliana	Chr1	27601631	27603317	
At4g32670	Arabidopsis thaliana	Chr4	15759242	15762925	
At1g37150	Arabidopsis thaliana	Chr1	14174980	14177302	
At2g02470	Arabidopsis thaliana	Chr2	652579	654915	
At4g36740	Arabidopsis thaliana	Chr4	17314558	17316374	
At4g23640	Arabidopsis thaliana	Chr4	12320151	12324486	
At5g10930	Arabidopsis thaliana	Chr5	3445365	3447114	
At2g22120	Arabidopsis thaliana	Chr2	9393822	9397022	
At3g05500	Arabidopsis thaliana	Chr3	1593433	1595015	
At5g14020	Arabidopsis thaliana	Chr5	4523519	4525863	
At2g46060	Arabidopsis thaliana	Chr2	18941098	18945099	
At3g20710	Arabidopsis thaliana	Chr3	7237910	7238999	
At2g43650	Arabidopsis thaliana	Chr2	18099237	18103345	
At1g61820	Arabidopsis thaliana	Chr1	22835077	22838615	
At4g08310	Arabidopsis thaliana	Chr4	5248863	5252150	
At5g49760	Arabidopsis thaliana	Chr5	20216371	20221299	
At1g33700	Arabidopsis thaliana	Chr1	12208307	12214182	
At5g47600	Arabidopsis thaliana	Chr5	19299781	19300499	
At3g27940	Arabidopsis thaliana	Chr3	10373250	10376461	
At1g33709	Arabidopsis thaliana	Chr1	12219370	12219502	
At5g35069	Arabidopsis thaliana	Chr5	13336474	13336657	
At5g43513	Arabidopsis thaliana	Chr5	17477998	17478390	
At5g43510	Arabidopsis thaliana	Chr5	17474110	17474478	
At5g43518	Arabidopsis thaliana	Chr5	17484365	17484852	
At5g05330	Arabidopsis thaliana	Chr5	1576981	1578754	
At5g15950	Arabidopsis thaliana	Chr5	5205868	5207987	
At1g32250	Arabidopsis thaliana	Chr1	11639842	11640343	
At2g41870	Arabidopsis thaliana	Chr2	17470865	17472936	
At4g33100	Arabidopsis thaliana	Chr4	15971173	15972489	
At2g16900	Arabidopsis thaliana	Chr2	7323614	7326221	
At5g17640	Arabidopsis thaliana	Chr5	5810934	5813284	
At1g17160	Arabidopsis thaliana	Chr1	5867634	5869356	
At1g28650	Arabidopsis thaliana	Chr1	10069364	10071082	
At5g11700	Arabidopsis thaliana	Chr5	3762461	3771416	
At5g39690	Arabidopsis thaliana	Chr5	15888170	15890187	
At4g38020	Arabidopsis thaliana	Chr4	17861522	17863060	
At2g42520	Arabidopsis thaliana	Chr2	17704831	17708947	
At1g22300	Arabidopsis thaliana	Chr1	7878768	7881219	
At5g10250	Arabidopsis thaliana	Chr5	3217027	3219368	
At4g13830	Arabidopsis thaliana	Chr4	8011423	8012780	
At4g37900	Arabidopsis thaliana	Chr4	17821736	17824627	
At5g17700	Arabidopsis thaliana	Chr5	5830580	5833901	
At5g40370	Arabidopsis thaliana	Chr5	16147593	16149198	
At5g18820	Arabidopsis thaliana	Chr5	6271488	6274327	
At1g67280	Arabidopsis thaliana	Chr1	25188273	25190694	
At4g05400	Arabidopsis thaliana	Chr4	2741185	2742949	
At2g01350	Arabidopsis thaliana	Chr2	165140	167259	
At1g49980	Arabidopsis thaliana	Chr1	18507970	18513172	
At1g64950	Arabidopsis thaliana	Chr1	24127560	24129458	
At1g66880	Arabidopsis thaliana	Chr1	24946927	24955611	
At2g38250	Arabidopsis thaliana	Chr2	16018356	16019500	
At2g38255	Arabidopsis thaliana	Chr2	16021749	16024854	
At1g80070	Arabidopsis thaliana	Chr1	30118051	30127811	
At1g62500	Arabidopsis thaliana	Chr1	23132044	23133502	
At1g67750	Arabidopsis thaliana	Chr1	25401587	25403503	
At3g22660	Arabidopsis thaliana	Chr3	8016050	8017508	
At3g29390	Arabidopsis thaliana	Chr3	11289612	11294774	
At4g38680	Arabidopsis thaliana	Chr4	18071883	18073182	
At1g16690	Arabidopsis thaliana	Chr1	5705968	5709533	
At1g12530	Arabidopsis thaliana	Chr1	4268985	4270787	
At1g26530	Arabidopsis thaliana	Chr1	9165359	9167490	
At3g26710	Arabidopsis thaliana	Chr3	9813370	9814750	
At1g63450	Arabidopsis thaliana	Chr1	23531408	23534569	
At5g44980	Arabidopsis thaliana	Chr5	18160289	18162264	
At1g64480	Arabidopsis thaliana	Chr1	23948027	23949751	
At1g76130	Arabidopsis thaliana	Chr1	28561280	28564076	
At4g39370	Arabidopsis thaliana	Chr4	18306134	18308755	
At5g01950	Arabidopsis thaliana	Chr5	364901	370186	
At4g21750	Arabidopsis thaliana	Chr4	11555950	11560733	
At1g16340	Arabidopsis thaliana	Chr1	5587789	5590642	
At2g23460	Arabidopsis thaliana	Chr2	9995477	9999122	
At2g18060	Arabidopsis thaliana	Chr2	7848398	7850303	
At4g38970	Arabidopsis thaliana	Chr4	18163495	18165762	
At4g04750	Arabidopsis thaliana	Chr4	2417887	2422624	
At2g27510	Arabidopsis thaliana	Chr2	11758078	11759476	
At4g35500	Arabidopsis thaliana	Chr4	16857352	16859603	
At4g39080	Arabidopsis thaliana	Chr4	18209398	18215056	
At5g13280	Arabidopsis thaliana	Chr5	4249437	4252836	
At3g11220	Arabidopsis thaliana	Chr3	3513530	3516408	
At5g02790	Arabidopsis thaliana	Chr5	632795	635125	
At3g51930	Arabidopsis thaliana	Chr3	19271623	19273064	
At2g01820	Arabidopsis thaliana	Chr2	357430	360681	
At4g10710	Arabidopsis thaliana	Chr4	6601988	6606354	
At3g23530	Arabidopsis thaliana	Chr3	8436670	8442846	
At5g44320	Arabidopsis thaliana	Chr5	17854588	17856680	
At1g64220	Arabidopsis thaliana	Chr1	23833087	23833321	
At5g41130	Arabidopsis thaliana	Chr5	16459583	16463272	
At3g27440	Arabidopsis thaliana	Chr3	10155554	10157931	
At3g28780	Arabidopsis thaliana	Chr3	10805910	10808458	
At5g13130	Arabidopsis thaliana	Chr5	4166621	4170517	
At1g20270	Arabidopsis thaliana	Chr1	7020748	7023067	
At3g24620	Arabidopsis thaliana	Chr3	8980694	8982793	
At1g10970	Arabidopsis thaliana	Chr1	3665086	3667139	
At4g00124	Arabidopsis thaliana	Chr4	45274	45370	
At4g00120	Arabidopsis thaliana	Chr4	41664	43197	
At3g25970	Arabidopsis thaliana	Chr3	9500115	9502221	
At2g22330	Arabidopsis thaliana	Chr2	9488553	9491187	
At3g46600	Arabidopsis thaliana	Chr3	17157923	17159965	
At3g62870	Arabidopsis thaliana	Chr3	23242664	23244353	
At1g11370	Arabidopsis thaliana	Chr1	3828097	3830945	
At4g15290	Arabidopsis thaliana	Chr4	8721486	8726669	
At3g27190	Arabidopsis thaliana	Chr3	10039233	10043066	
At5g38630	Arabidopsis thaliana	Chr5	15465991	15468185	
At5g04820	Arabidopsis thaliana	Chr5	1399618	1400784	
At2g21820	Arabidopsis thaliana	Chr2	9302884	9303247	
At5g19060	Arabidopsis thaliana	Chr5	6372798	6374903	
At4g16920	Arabidopsis thaliana	Chr4	9519172	9525691	
At1g15610	Arabidopsis thaliana	Chr1	5370756	5371679	
At5g27930	Arabidopsis thaliana	Chr5	9958097	9960339	
At5g03440	Arabidopsis thaliana	Chr5	856925	858428	
At1g20890	Arabidopsis thaliana	Chr1	7265822	7267323	
At4g15740	Arabidopsis thaliana	Chr4	8964744	8966318	
At4g11040	Arabidopsis thaliana	Chr4	6745160	6746698	
At3g24080	Arabidopsis thaliana	Chr3	8694960	8697124	
At5g04790	Arabidopsis thaliana	Chr5	1388154	1388319	
At1g10390	Arabidopsis thaliana	Chr1	3407023	3412843	
At5g42440	Arabidopsis thaliana	Chr5	16973303	16974574	
At2g11810	Arabidopsis thaliana	Chr2	4743321	4746780	
At2g03460	Arabidopsis thaliana	Chr2	1043620	1044992	
At5g16567	Arabidopsis thaliana	Chr5	5418890	5419085	
At5g16560	Arabidopsis thaliana	Chr5	5406862	5411424	
At5g19390	Arabidopsis thaliana	Chr5	6531537	6538483	
At4g25225	Arabidopsis thaliana	Chr4	12922933	12923307	
At4g25220	Arabidopsis thaliana	Chr4	12920926	12922885	
At1g80690	Arabidopsis thaliana	Chr1	30329067	30330803	
At5g24710	Arabidopsis thaliana	Chr5	8458846	8468173	
At5g15030	Arabidopsis thaliana	Chr5	4866878	4869073	
At5g28840	Arabidopsis thaliana	Chr5	10862172	10864903	
At1g18590	Arabidopsis thaliana	Chr1	6398579	6399942	
At3g14300	Arabidopsis thaliana	Chr3	4766904	4769898	
At1g10020	Arabidopsis thaliana	Chr1	3269603	3271987	
At1g08210	Arabidopsis thaliana	Chr1	2577019	2580669	
At1g05620	Arabidopsis thaliana	Chr1	1679157	1681710	
At5g23090	Arabidopsis thaliana	Chr5	7749069	7750544	
At1g60830	Arabidopsis thaliana	Chr1	22395057	22395603	
At1g02070	Arabidopsis thaliana	Chr1	370256	370967	
At1g02074	Arabidopsis thaliana	Chr1	372063	372210	
At5g49240	Arabidopsis thaliana	Chr5	19962933	19964351	
At3g21900	Arabidopsis thaliana	Chr3	7715392	7716343	
At5g46210	Arabidopsis thaliana	Chr5	18731417	18736810	
At1g52270	Arabidopsis thaliana	Chr1	19463677	19464355	
At2g21170	Arabidopsis thaliana	Chr2	9070753	9073233	
At4g16215	Arabidopsis thaliana	Chr4	9179243	9179833	
At1g13610	Arabidopsis thaliana	Chr1	4663830	4666017	
At4g16210	Arabidopsis thaliana	Chr4	9176672	9178048	
At4g26040	Arabidopsis thaliana	Chr4	13206834	13207203	
At5g64830	Arabidopsis thaliana	Chr5	25914637	25916624	
At5g58160	Arabidopsis thaliana	Chr5	23533700	23539465	
At1g53890	Arabidopsis thaliana	Chr1	20124842	20126109	
At2g20880	Arabidopsis thaliana	Chr2	8985972	8987263	
At4g28220	Arabidopsis thaliana	Chr4	13992996	13995831	
At3g44510	Arabidopsis thaliana	Chr3	16108099	16111188	
At5g25440	Arabidopsis thaliana	Chr5	8854774	8856758	
At4g24570	Arabidopsis thaliana	Chr4	12686458	12687650	
At3g53640	Arabidopsis thaliana	Chr3	19887006	19888935	
At5g01540	Arabidopsis thaliana	Chr5	210978	213472	
At5g05040	Arabidopsis thaliana	Chr5	1487259	1487968	
At3g25020	Arabidopsis thaliana	Chr3	9116867	9119540	
At2g07750	Arabidopsis thaliana	Chr2	3576464	3580525	
At4g26590	Arabidopsis thaliana	Chr4	13413972	13417055	
At3g13330	Arabidopsis thaliana	Chr3	4319646	4330061	
At2g43350	Arabidopsis thaliana	Chr2	18008641	18010600	
At1g55800	Arabidopsis thaliana	Chr1	20856921	20858235	
At4g21065	Arabidopsis thaliana	Chr4	11245953	11247807	
At1g52855	Arabidopsis thaliana	Chr1	19682945	19683498	
At2g17760	Arabidopsis thaliana	Chr2	7713313	7716464	
At1g55805	Arabidopsis thaliana	Chr1	20858722	20859439	
At4g12825	Arabidopsis thaliana	Chr4	7529470	7529892	
At4g12820	Arabidopsis thaliana	Chr4	7527047	7529356	
At4g24680	Arabidopsis thaliana	Chr4	12732677	12740051	
At1g03300	Arabidopsis thaliana	Chr1	811032	813086	
At5g25190	Arabidopsis thaliana	Chr5	8706789	8707748	
At5g47160	Arabidopsis thaliana	Chr5	19156730	19157978	
At4g13190	Arabidopsis thaliana	Chr4	7659434	7661106	
At4g13195	Arabidopsis thaliana	Chr4	7662370	7663177	
At1g57565	Arabidopsis thaliana	Chr1	21319634	21320213	
At2g14810	Arabidopsis thaliana	Chr2	6357464	6358470	
At3g16210	Arabidopsis thaliana	Chr3	5494532	5495615	
At3g62090	Arabidopsis thaliana	Chr3	22988546	22990709	
At3g62097	Arabidopsis thaliana	Chr3	22994270	22994381	
At5g08630	Arabidopsis thaliana	Chr5	2798280	2803171	
At5g59220	Arabidopsis thaliana	Chr5	23894403	23896619	
At3g45640	Arabidopsis thaliana	Chr3	16756769	16758698	
At1g58983	Arabidopsis thaliana	Chr1	21806019	21807487	
At5g56560	Arabidopsis thaliana	Chr5	22899723	22901985	
At4g27880	Arabidopsis thaliana	Chr4	13883222	13885052	
At3g49760	Arabidopsis thaliana	Chr3	18455346	18456125	
At3g52510	Arabidopsis thaliana	Chr3	19469651	19470378	
At1g12780	Arabidopsis thaliana	Chr1	4355925	4358328	
At5g06530	Arabidopsis thaliana	Chr5	1989746	1994824	
At5g02890	Arabidopsis thaliana	Chr5	670064	671471	
At5g34940	Arabidopsis thaliana	Chr5	13235828	13238839	
At5g16486	Arabidopsis thaliana	Chr5	5383596	5384226	
At2g30930	Arabidopsis thaliana	Chr2	13162368	13163398	
At5g65080	Arabidopsis thaliana	Chr5	25997503	26002465	
At2g30933	Arabidopsis thaliana	Chr2	13164058	13166726	
At4g25760	Arabidopsis thaliana	Chr4	13116075	13116838	
At3g49490	Arabidopsis thaliana	Chr3	18344743	18348699	
At1g80330	Arabidopsis thaliana	Chr1	30198060	30199537	
At5g64680	Arabidopsis thaliana	Chr5	25854139	25855484	
At3g03910	Arabidopsis thaliana	Chr3	1006841	1009018	
At1g54860	Arabidopsis thaliana	Chr1	20457420	20458631	
At3g63320	Arabidopsis thaliana	Chr3	23389837	23391556	
At3g22345	Arabidopsis thaliana	Chr3	7899214	7900514	
At3g59640	Arabidopsis thaliana	Chr3	22028780	22030445	
At3g51090	Arabidopsis thaliana	Chr3	18977987	18980003	
At4g09200	Arabidopsis thaliana	Chr4	5859256	5861803	
At5g62680	Arabidopsis thaliana	Chr5	25165136	25167943	
At1g23205	Arabidopsis thaliana	Chr1	8233996	8234893	
At1g75150	Arabidopsis thaliana	Chr1	28204386	28208573	
At1g07550	Arabidopsis thaliana	Chr1	2322652	2326561	
At1g70300	Arabidopsis thaliana	Chr1	26477879	26481630	
At1g23200	Arabidopsis thaliana	Chr1	8227177	8229582	
At1g73655	Arabidopsis thaliana	Chr1	27690358	27691814	
At1g74680	Arabidopsis thaliana	Chr1	28059187	28061119	
At1g73650	Arabidopsis thaliana	Chr1	27688122	27690307	
At2g27690	Arabidopsis thaliana	Chr2	11809305	11811215	
At2g23149	Arabidopsis thaliana	Chr2	9855856	9855964	
At2g23148	Arabidopsis thaliana	Chr2	9853617	9854156	
At2g23140	Arabidopsis thaliana	Chr2	9845693	9849164	
